# {"t_start": 1757022630.345449, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
1604.948312,0.85,0.855,200,7.921005
1614.860811,0.83,0.845,200,12.365983
1409.809794,0.86,0.86,200,16.781081
1647.640182,0.85,0.865,200,21.151719
1364.259264,0.85,0.86,200,26.799484
1555.315947,0.83,0.835,200,31.418477
1665.104492,0.83,0.83,200,36.076879
1679.634183,0.86,0.865,200,40.675068
1336.83854,0.825,0.83,200,45.85373
1540.345338,0.81,0.82,200,50.349598
1620.8209,0.84,0.84,200,55.057501
1516.18326,0.81,0.825,200,59.827374
1364.975637,0.81,0.81,200,65.255461
1338.549685,0.825,0.825,200,69.789807
1594.649748,0.89,0.89,200,74.487042
1395.96404,0.85,0.87,200,79.236063
1660.981519,0.845,0.86,200,84.482532
1371.836332,0.805,0.81,200,89.006079
1630.733421,0.86,0.87,200,93.757918
1394.705783,0.845,0.86,200,98.449325
1441.631203,0.87,0.875,200,103.739684
1349.304869,0.795,0.82,200,108.253743
1360.996031,0.805,0.82,200,112.886701
1515.47413,0.675,0.675,200,117.543128
1336.44541,0.835,0.845,200,122.495148
1341.193087,0.795,0.81,200,127.207784
1684.647723,0.855,0.855,200,131.885501
1419.197796,0.845,0.86,200,136.363152
1378.344775,0.785,0.8,200,141.859885
1693.248711,0.855,0.865,200,146.570522
1140.613947,0.57,0.575,200,151.331748
1401.054391,0.855,0.865,200,156.138979
1453.900696,0.87,0.87,200,161.719779
1492.322657,0.79,0.79,200,166.327727
1614.22874,0.835,0.84,200,171.120624
1475.247432,0.88,0.89,200,175.947226
1356.510389,0.77,0.79,200,181.333565
1347.201211,0.82,0.84,200,186.010061
1354.167287,0.785,0.795,200,190.730336
1374.928801,0.805,0.83,200,195.429787
1424.026548,0.87,0.87,200,200.81654
1327.033846,0.82,0.835,200,205.63827
1683.944246,0.855,0.865,200,210.424615
1362.264234,0.76,0.78,200,214.947067
1556.829812,0.815,0.835,200,220.289677
1650.017176,0.845,0.855,200,225.005611
1348.267092,0.84,0.845,200,229.684076
1666.814966,0.85,0.865,200,234.514829
1344.072581,0.78,0.79,200,239.737299
1415.741501,0.865,0.865,200,244.474019
1354.760166,0.83,0.845,200,249.264461
1476.49684,0.87,0.88,200,253.958614
1348.932644,0.815,0.82,200,259.324895
1561.323203,0.83,0.83,200,264.041
1176.889298,0.53,0.575,200,268.857925
1485.414832,0.775,0.78,200,273.617511
1362.566519,0.855,0.86,200,278.919925
1481.029003,0.78,0.78,200,283.577823
1403.314426,0.85,0.865,200,288.271198
1557.137437,0.815,0.835,200,292.940776
1529.142021,0.825,0.825,200,298.326593
1420.563598,0.845,0.86,200,302.960629
1448.971801,0.85,0.865,200,307.478935
1346.80681,0.785,0.82,200,312.135073
1383.493168,0.84,0.84,200,317.388242
1631.873374,0.85,0.85,200,322.014149
1380.309488,0.845,0.845,200,326.74585
1533.877945,0.805,0.815,200,331.38773
1536.590389,0.81,0.82,200,336.598721
1353.538115,0.78,0.795,200,341.274246
1388.310405,0.79,0.81,200,345.940961
1337.605953,0.76,0.76,200,350.606279
1539.900725,0.81,0.82,200,355.939818
1444.376749,0.865,0.87,200,360.651767
1656.199073,0.84,0.845,200,365.337087
1606.517237,0.83,0.84,200,370.091035
1534.486753,0.895,0.895,200,375.380985
1397.862908,0.8,0.82,200,380.129708
1685.908928,0.835,0.835,200,384.667845
1481.066129,0.77,0.77,200,389.309205
1375.782887,0.8,0.805,200,394.907178
1577.072226,0.825,0.835,200,399.572282
1549.698239,0.825,0.825,200,404.281643
1337.87242,0.83,0.835,200,408.989784
1639.79497,0.84,0.855,200,414.283659
1668.534777,0.84,0.855,200,418.947136
1460.482111,0.775,0.775,200,423.562171
