# {"t_start": 1757022631.3581648, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
1523.524547,0.895,0.895,200,6.911369
1367.308669,0.79,0.81,200,11.350214
1648.566002,0.845,0.85,200,15.770725
1649.930031,0.85,0.85,200,20.140955
1358.385881,0.865,0.865,200,25.787493
1554.037272,0.78,0.78,200,30.40616
1532.668723,0.89,0.89,200,35.066098
1698.897092,0.875,0.88,200,39.662635
1546.283068,0.82,0.825,200,44.843732
1366.652985,0.8,0.81,200,49.336557
1335.739318,0.835,0.845,200,54.044955
1602.783766,0.83,0.855,200,58.817226
714.642225,0.12,0.13,200,64.233494
1671.610619,0.845,0.85,200,68.772898
1346.66988,0.78,0.785,200,73.475278
1347.352659,0.8,0.81,200,78.223071
1368.254503,0.82,0.84,200,83.470092
1406.00646,0.795,0.805,200,87.997139
1527.939401,0.865,0.865,200,92.742215
1571.751717,0.83,0.845,200,97.426001
1648.939916,0.845,0.855,200,102.727359
1211.875526,0.52,0.52,200,107.243057
1596.781855,0.83,0.855,200,111.871523
1365.676935,0.865,0.865,200,116.534103
1517.72046,0.88,0.88,200,121.479487
1474.322549,0.875,0.875,200,126.194477
1649.972289,0.845,0.86,200,130.874742
1699.773707,0.87,0.875,200,135.356126
1380.672294,0.835,0.85,200,140.846734
1348.727445,0.85,0.855,200,145.562263
1515.32724,0.855,0.86,200,150.322911
1501.77049,0.89,0.89,200,155.126698
1448.190623,0.87,0.87,200,160.708549
1520.259331,0.82,0.825,200,165.31215
1358.083561,0.83,0.84,200,170.09994
1368.576404,0.815,0.84,200,174.936178
1493.879655,0.885,0.885,200,180.324893
1403.330397,0.845,0.86,200,185.000062
1686.030822,0.86,0.865,200,189.720068
1494.796835,0.795,0.805,200,194.416427
845.664079,0.165,0.175,200,199.8064
1573.482178,0.835,0.835,200,204.627174
1359.825472,0.805,0.83,200,209.415271
1392.942676,0.845,0.86,200,213.938776
1352.491813,0.835,0.855,200,219.277389
1685.586776,0.855,0.87,200,223.994463
1461.821376,0.78,0.78,200,228.671806
1357.222033,0.765,0.765,200,233.49798
1648.572,0.84,0.855,200,238.725426
1533.059568,0.76,0.77,200,243.460743
1454.382728,0.79,0.79,200,248.257526
1327.936649,0.825,0.84,200,252.954312
1352.066384,0.8,0.81,200,258.313559
1325.161534,0.82,0.83,200,263.024609
1352.305181,0.8,0.81,200,267.849479
1679.953808,0.86,0.87,200,272.604477
1549.25312,0.865,0.865,200,277.902688
1433.191298,0.855,0.86,200,282.567738
1636.827011,0.845,0.855,200,287.254269
1672.504377,0.87,0.885,200,291.92325
1377.319329,0.835,0.86,200,297.317287
1520.580442,0.8,0.8,200,301.946112
1550.744796,0.825,0.825,200,306.462698
1347.198685,0.84,0.855,200,311.127537
1564.602015,0.82,0.83,200,316.370518
1364.694505,0.835,0.86,200,321.005438
1415.818628,0.855,0.865,200,325.73272
1425.833212,0.84,0.86,200,330.378846
1042.912105,0.44,0.455,200,335.58724
1546.058157,0.88,0.88,200,340.262182
1680.698117,0.85,0.85,200,344.931807
1621.387607,0.855,0.865,200,349.594403
1439.616991,0.705,0.71,200,354.936553
1692.254357,0.86,0.87,200,359.637413
1598.364937,0.855,0.855,200,364.327986
1578.449327,0.78,0.78,200,369.078685
1387.390143,0.765,0.77,200,374.374427
1509.471419,0.865,0.865,200,379.117333
1487.649562,0.775,0.795,200,383.653764
1520.365273,0.8,0.8,200,388.292229
1428.316079,0.84,0.865,200,393.898353
1627.541003,0.855,0.86,200,398.55936
1483.19661,0.77,0.785,200,403.270673
1603.738024,0.83,0.83,200,407.976268
1366.370211,0.655,0.665,200,413.270683
1554.947128,0.795,0.805,200,417.936461
1658.969239,0.855,0.86,200,422.548719
1351.580262,0.835,0.84,200,427.155395
1341.295923,0.82,0.84,200,432.429741
