# {"t_start": 1757022630.590867, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
1415.41072,0.87,0.87,200,7.676943
1250.548279,0.57,0.57,200,12.117383
1457.997639,0.875,0.875,200,16.538481
1365.368433,0.87,0.87,200,20.907402
1650.738397,0.83,0.835,200,26.55593
1698.897693,0.855,0.87,200,31.17436
1583.36407,0.885,0.885,200,35.833601
1612.599284,0.855,0.855,200,40.429732
1524.004988,0.875,0.875,200,45.612556
1345.694975,0.815,0.835,200,50.097454
1377.577325,0.78,0.785,200,54.809824
1360.664941,0.78,0.79,200,59.585288
1482.208712,0.8,0.805,200,65.005182
1650.121568,0.855,0.86,200,69.538041
1644.213261,0.835,0.84,200,74.242926
1692.313471,0.86,0.88,200,78.991537
1654.690136,0.85,0.855,200,84.237264
1377.144801,0.78,0.8,200,88.760807
1437.350626,0.875,0.875,200,93.511699
1484.801774,0.87,0.87,200,98.20384
1389.982224,0.865,0.865,200,103.49199
1333.089048,0.815,0.815,200,108.011013
1510.171579,0.795,0.8,200,112.639888
1469.602221,0.79,0.795,200,117.301052
1455.604146,0.865,0.865,200,122.246614
1385.497788,0.78,0.78,200,126.962565
1479.952024,0.745,0.755,200,131.640217
1324.741286,0.815,0.83,200,136.123546
1345.8541,0.755,0.76,200,141.610202
1510.627299,0.9,0.9,200,146.329962
1416.142248,0.78,0.785,200,151.086192
1557.21589,0.82,0.835,200,155.893794
1376.563127,0.865,0.875,200,161.476137
1595.642569,0.85,0.85,200,166.079159
1358.797305,0.83,0.855,200,170.875158
1352.640871,0.8,0.805,200,175.705276
1356.496248,0.795,0.815,200,181.081401
1356.400671,0.82,0.845,200,185.767825
1685.089531,0.845,0.865,200,190.488675
1331.849044,0.82,0.83,200,195.184278
1467.368765,0.755,0.775,200,200.573266
1676.112544,0.85,0.87,200,205.39177
1344.79752,0.81,0.81,200,210.18214
1510.176397,0.805,0.815,200,214.705388
1051.416573,0.39,0.405,200,220.044555
827.146643,0.15,0.16,200,224.761815
1638.784192,0.84,0.855,200,229.43692
1360.66019,0.785,0.8,200,234.269177
1389.331065,0.805,0.81,200,239.49432
1361.714106,0.805,0.81,200,244.227405
1547.419562,0.86,0.87,200,249.022674
1391.816007,0.835,0.84,200,253.719403
875.321955,0.185,0.19,200,259.080132
1364.616735,0.83,0.85,200,263.795645
1574.013346,0.845,0.845,200,268.617794
1570.678454,0.835,0.835,200,273.371216
1339.878359,0.765,0.78,200,278.67469
1605.956709,0.835,0.855,200,283.333793
1644.755471,0.815,0.825,200,288.019907
1335.193749,0.82,0.83,200,292.692242
1563.977869,0.89,0.895,200,298.085132
1544.586022,0.81,0.82,200,302.713963
1425.364076,0.875,0.875,200,307.230883
1697.692255,0.845,0.845,200,311.894272
1520.955655,0.89,0.89,200,317.142937
1423.087256,0.835,0.86,200,321.77274
1672.656267,0.86,0.865,200,326.497936
1501.088976,0.89,0.89,200,331.146357
1685.846598,0.83,0.835,200,336.351462
1394.800096,0.865,0.865,200,341.028884
1362.547579,0.755,0.755,200,345.697536
1637.141719,0.85,0.85,200,350.364032
1349.709051,0.77,0.78,200,355.699002
1439.407434,0.86,0.87,200,360.406493
1443.32547,0.855,0.86,200,365.095213
1469.945337,0.85,0.87,200,369.845838
1534.348417,0.805,0.805,200,375.138744
1361.249906,0.79,0.805,200,379.879565
1669.034382,0.855,0.865,200,384.415
1680.430462,0.85,0.86,200,389.055587
1554.429194,0.885,0.885,200,394.664192
1538.430786,0.805,0.81,200,399.330514
1672.933699,0.84,0.845,200,404.041368
1565.178777,0.705,0.71,200,408.74102
1402.917057,0.84,0.85,200,414.03467
1510.360467,0.775,0.795,200,418.703077
1513.280762,0.86,0.86,200,423.315258
1390.315849,0.785,0.8,200,427.916944
1596.699182,0.815,0.82,200,433.195204
1559.854231,0.815,0.82,200,437.827684
1649.878562,0.845,0.86,200,442.486911
1554.354584,0.82,0.82,200,447.13377
1517.869034,0.795,0.805,200,452.533448
1673.885335,0.855,0.855,200,457.29018
1337.496106,0.835,0.85,200,461.976763
1418.021226,0.845,0.86,200,466.678861
1563.386197,0.825,0.825,200,471.996251
1388.395047,0.84,0.865,200,476.689665
1062.353322,0.48,0.48,200,481.364022
1353.818317,0.805,0.82,200,486.008844
779.201551,0.135,0.135,200,491.316607
1625.054985,0.855,0.86,200,495.879527
1399.258751,0.855,0.875,200,500.467856
1361.40635,0.81,0.82,200,505.182174
1487.028352,0.785,0.785,200,510.841088
1699.077432,0.85,0.865,200,515.529153
1322.703789,0.825,0.84,200,520.197632
1370.32492,0.8,0.8,200,524.934551
1680.641576,0.855,0.86,200,530.404395
1357.425523,0.795,0.825,200,535.117599
1350.18316,0.78,0.78,200,539.798106
1351.251586,0.8,0.805,200,544.418285
1389.072528,0.78,0.78,200,549.836284
1395.110448,0.815,0.825,200,554.419706
1625.410442,0.85,0.85,200,559.01703
1450.192492,0.835,0.855,200,563.581121
1467.223464,0.88,0.88,200,569.013415
1416.074197,0.795,0.8,200,573.798198
1675.363384,0.84,0.855,200,578.220803
1384.22329,0.83,0.84,200,582.917245
1517.716296,0.865,0.885,200,588.123229
1486.338968,0.885,0.885,200,592.676607
1672.060164,0.84,0.845,200,597.387662
1388.407048,0.81,0.82,200,602.005402
1451.106724,0.865,0.865,200,607.316498
1379.479595,0.86,0.865,200,612.03513
1472.219343,0.865,0.87,200,616.753798
1484.721236,0.63,0.63,200,621.429825
1604.921983,0.825,0.825,200,626.607652
1398.792249,0.825,0.84,200,631.160339
1647.025189,0.825,0.83,200,635.731553
1587.355535,0.83,0.84,200,640.350905
1647.491887,0.855,0.875,200,645.638893
1726.712726,0.86,0.865,200,650.208722
1693.746314,0.855,0.86,200,654.69298
1608.849677,0.82,0.825,200,659.329391
1687.656069,0.845,0.86,200,664.568911
1514.105765,0.73,0.745,200,669.144949
1370.278467,0.8,0.82,200,673.608718
1562.699058,0.82,0.82,200,678.067307
1437.911148,0.855,0.865,200,683.216112
1481.129764,0.86,0.875,200,687.623341
1315.589648,0.575,0.575,200,692.062984
1370.563412,0.81,0.835,200,696.557321
1580.509475,0.825,0.83,200,701.719019
1639.960158,0.835,0.845,200,706.196425
1531.755393,0.82,0.82,200,710.747185
1445.498849,0.845,0.865,200,715.250721
1602.632584,0.84,0.84,200,720.436077
1693.986729,0.85,0.85,200,725.003276
1713.359826,0.855,0.865,200,729.680927
1484.543976,0.855,0.875,200,734.276003
1410.800613,0.805,0.81,200,739.516839
1676.799438,0.86,0.87,200,744.071513
1674.974599,0.86,0.865,200,748.700667
1717.871601,0.865,0.875,200,753.41695
1681.756098,0.86,0.87,200,758.712272
1456.123941,0.865,0.865,200,763.278165
1463.649794,0.855,0.87,200,767.921033
1529.483746,0.71,0.74,200,772.430361
1586.458987,0.81,0.81,200,777.62674
1678.696067,0.845,0.845,200,782.431778
1419.781764,0.835,0.855,200,787.192587
1667.32979,0.855,0.855,200,791.9483
1542.952859,0.795,0.795,200,797.395342
1690.931546,0.855,0.86,200,802.219159
1479.269784,0.845,0.86,200,807.197381
1539.730306,0.885,0.885,200,812.090341
1457.097284,0.86,0.865,200,817.685894
1443.550169,0.85,0.86,200,822.427582
1416.473345,0.855,0.87,200,827.095465
1597.067602,0.81,0.815,200,831.869901
1397.113996,0.84,0.84,200,836.841925
1373.898533,0.825,0.845,200,841.564513
1576.036569,0.805,0.805,200,846.38382
1651.14938,0.84,0.84,200,851.192651
1732.615409,0.875,0.875,200,856.604567
1656.479481,0.845,0.855,200,861.36718
1701.473297,0.87,0.87,200,866.097419
1553.613387,0.81,0.81,200,870.63226
1690.413869,0.855,0.855,200,876.126546
1688.592371,0.845,0.855,200,880.579713
1730.027381,0.855,0.865,200,885.144767
