# {"t_start": 1757022631.6567, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
1451.267904,0.88,0.88,200,6.612094
1591.001361,0.84,0.85,200,11.054914
1658.303196,0.825,0.86,200,15.469061
1577.169744,0.815,0.845,200,19.844974
1497.250664,0.77,0.785,200,25.493123
1404.771951,0.87,0.87,200,30.102737
1313.210614,0.82,0.825,200,34.764573
1521.444101,0.86,0.87,200,39.357457
1429.700953,0.875,0.88,200,44.545982
1268.537355,0.515,0.515,200,49.03706
1362.631122,0.79,0.805,200,53.741862
1430.689858,0.635,0.635,200,58.516646
1515.05178,0.805,0.805,200,63.940258
1610.93551,0.85,0.85,200,68.478207
1446.420653,0.885,0.885,200,73.177002
799.518333,0.1,0.11,200,77.921404
1354.591437,0.795,0.805,200,83.171625
1483.973645,0.875,0.88,200,87.696107
1392.785285,0.835,0.855,200,92.444755
1565.256474,0.855,0.87,200,97.132674
1624.506677,0.84,0.85,200,102.428913
1655.477476,0.87,0.88,200,106.947565
1403.609356,0.845,0.85,200,111.568091
1369.774874,0.815,0.835,200,116.235764
1352.866559,0.79,0.83,200,121.181022
1392.261238,0.835,0.855,200,125.896128
689.44979,0.005,0.01,200,130.574576
1093.114842,0.455,0.455,200,135.054661
1447.489776,0.875,0.875,200,140.548488
1037.494012,0.47,0.485,200,145.263789
1465.069503,0.88,0.88,200,150.018881
1570.712782,0.845,0.845,200,154.823577
1426.426388,0.845,0.86,200,160.407984
654.530045,0.065,0.065,200,165.015469
1442.90461,0.885,0.885,200,169.808875
1382.287476,0.81,0.83,200,174.637618
1427.713975,0.865,0.865,200,180.022613
1621.83903,0.835,0.845,200,184.702762
1425.571553,0.86,0.865,200,189.419199
1303.725993,0.545,0.545,200,194.118334
1354.096079,0.79,0.82,200,199.50827
1624.935431,0.855,0.855,200,204.328173
1119.864125,0.43,0.45,200,209.118749
1599.528108,0.845,0.86,200,213.639309
1631.51308,0.84,0.84,200,218.97819
