# {"t_start": 1757022631.4628348, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
1653.518189,0.85,0.855,200,6.803532
1599.155188,0.84,0.84,200,11.249064
1648.594358,0.86,0.87,200,15.667079
1447.300901,0.875,0.875,200,20.036328
1367.495232,0.855,0.855,200,25.686169
1442.231022,0.88,0.88,200,30.297754
1607.739542,0.83,0.845,200,34.958404
1537.199882,0.8,0.81,200,39.553306
1362.262021,0.805,0.825,200,44.740501
1681.41194,0.845,0.86,200,49.229739
1503.01917,0.865,0.865,200,53.93987
1412.071661,0.86,0.865,200,58.709183
1488.578465,0.795,0.795,200,64.128917
1369.847243,0.785,0.8,200,68.67196
1549.250338,0.83,0.84,200,73.370518
1625.179802,0.85,0.85,200,78.118486
1495.519433,0.805,0.805,200,83.362084
893.181018,0.285,0.295,200,87.89261
1426.629367,0.845,0.865,200,92.639979
1556.025812,0.83,0.84,200,97.328411
1690.843441,0.855,0.87,200,102.619226
1384.726355,0.845,0.865,200,107.138472
1359.461075,0.81,0.81,200,111.769629
1367.753402,0.87,0.875,200,116.429789
1480.742264,0.76,0.765,200,121.372164
1272.20656,0.56,0.56,200,126.090056
1397.527495,0.84,0.86,200,130.770172
1676.313105,0.845,0.865,200,135.251311
1520.544522,0.79,0.795,200,140.742212
1347.607662,0.805,0.82,200,145.454738
1492.072458,0.685,0.685,200,150.212297
1694.995587,0.855,0.865,200,155.019882
1434.249104,0.805,0.805,200,160.599753
1459.831703,0.785,0.79,200,165.210242
1650.070763,0.85,0.85,200,169.999128
1647.399874,0.835,0.84,200,174.831804
1381.836442,0.77,0.78,200,180.21901
1343.444275,0.8,0.82,200,184.897456
1349.08069,0.83,0.85,200,189.616916
1421.658559,0.87,0.87,200,194.31187
1451.254185,0.85,0.865,200,199.703906
1479.676959,0.79,0.79,200,204.522958
704.947581,0.065,0.115,200,209.300536
1193.591726,0.6,0.615,200,213.835982
1341.658558,0.85,0.85,200,219.172898
1494.71489,0.78,0.785,200,223.89228
1341.574566,0.835,0.86,200,228.563119
1558.453537,0.86,0.87,200,233.396815
1334.759046,0.835,0.85,200,238.622319
1614.883654,0.815,0.82,200,243.356017
1379.962496,0.75,0.75,200,248.143901
1333.022331,0.8,0.81,200,252.847915
1737.015509,0.845,0.845,200,258.207315
1399.432167,0.85,0.875,200,262.923373
1658.906117,0.84,0.84,200,267.744874
1358.152281,0.775,0.775,200,272.499614
1325.992773,0.695,0.7,200,277.798498
1503.130039,0.845,0.845,200,282.460619
1646.793586,0.855,0.86,200,287.150994
1321.085198,0.785,0.815,200,291.820964
1705.428915,0.87,0.895,200,297.20674
1356.538551,0.785,0.785,200,301.841433
1552.583834,0.89,0.89,200,306.356342
1350.016006,0.79,0.8,200,311.023042
1680.849789,0.855,0.865,200,316.268746
1336.346767,0.815,0.825,200,320.902103
1352.074612,0.82,0.835,200,325.628134
1357.282174,0.82,0.83,200,330.274368
1518.852729,0.81,0.815,200,335.482823
1670.289225,0.84,0.85,200,340.151937
1220.775632,0.57,0.57,200,344.825123
1448.840033,0.77,0.77,200,349.488766
1490.544936,0.87,0.875,200,354.830898
1324.918147,0.82,0.83,200,359.534681
1462.743197,0.775,0.775,200,364.221404
1336.239047,0.835,0.84,200,368.968664
1415.932045,0.835,0.86,200,374.262583
1357.230249,0.825,0.845,200,379.008579
1523.283755,0.775,0.775,200,383.547677
1096.834169,0.425,0.425,200,388.191613
1540.361268,0.81,0.815,200,393.793726
1492.150861,0.87,0.87,200,398.462291
1458.211829,0.87,0.87,200,403.169625
1728.281231,0.86,0.86,200,407.870667
1403.408202,0.75,0.755,200,413.162403
1563.500638,0.825,0.84,200,417.829317
1650.83514,0.87,0.87,200,422.444595
1669.086524,0.865,0.875,200,427.043756
