# {"t_start": 1757022630.700071, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
1406.205573,0.8,0.835,200,7.565527
1505.459046,0.795,0.8,200,12.007048
1414.7912,0.87,0.885,200,16.429608
1485.373377,0.785,0.81,200,20.79709
1522.881655,0.885,0.885,200,26.44776
1142.119509,0.425,0.425,200,31.065235
1497.41433,0.865,0.875,200,35.722078
1339.502463,0.84,0.85,200,40.316626
1368.792753,0.85,0.86,200,45.503089
1499.551864,0.8,0.805,200,49.996283
1495.081157,0.885,0.885,200,54.703528
1490.547329,0.805,0.81,200,59.480846
1689.070206,0.865,0.875,200,64.896199
1379.935153,0.785,0.785,200,69.435762
1360.241173,0.795,0.8,200,74.129524
1461.281227,0.775,0.775,200,78.882427
1390.766374,0.795,0.805,200,84.127539
1666.39169,0.855,0.865,200,88.655675
1385.005532,0.815,0.83,200,93.40117
1240.73145,0.53,0.53,200,98.094885
1573.139667,0.83,0.84,200,103.385102
1342.434114,0.825,0.84,200,107.900336
1584.778224,0.84,0.84,200,112.528146
1361.589602,0.805,0.805,200,117.189813
1490.947877,0.79,0.805,200,122.137731
1483.793999,0.885,0.885,200,126.85234
1361.007791,0.795,0.815,200,131.533815
1391.973898,0.85,0.865,200,136.013552
1434.072553,0.855,0.86,200,141.502485
1725.91627,0.86,0.87,200,146.217282
1364.818534,0.835,0.85,200,150.977179
1044.822508,0.455,0.475,200,155.784724
1370.259801,0.79,0.8,200,161.36509
1425.75102,0.87,0.87,200,165.96852
1391.201131,0.855,0.86,200,170.763185
1482.748323,0.775,0.785,200,175.592962
1683.704528,0.86,0.87,200,180.982913
1585.361887,0.83,0.83,200,185.656696
1448.017122,0.87,0.87,200,190.379427
1448.662592,0.78,0.79,200,195.072446
1359.314884,0.79,0.81,200,200.458848
1539.377025,0.82,0.82,200,205.28014
1660.942552,0.84,0.87,200,210.073073
1547.776454,0.815,0.825,200,214.588521
1369.818837,0.815,0.825,200,219.935211
1493.246826,0.865,0.875,200,224.656475
1358.829901,0.78,0.78,200,229.329573
1639.781485,0.845,0.855,200,234.157501
1343.656743,0.795,0.805,200,239.383059
1545.514694,0.805,0.815,200,244.118311
1401.423703,0.86,0.87,200,248.912025
1358.480884,0.79,0.81,200,253.610632
1657.455206,0.865,0.865,200,258.971976
1476.402079,0.885,0.885,200,263.684045
1508.342388,0.81,0.81,200,268.507259
1380.729011,0.835,0.85,200,273.251411
1487.664867,0.785,0.79,200,278.564711
1336.69522,0.815,0.825,200,283.227829
1638.164158,0.825,0.83,200,287.916645
