# {"t_start": 1757073747.5042076, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
5741.784695,0.845,0.85,200,8.600017
5734.223145,0.83,0.845,200,13.217222
2591.543094,0.87,0.87,200,17.912437
5746.910819,0.85,0.865,200,22.581575
4522.691055,0.845,0.865,200,27.251022
5727.687595,0.83,0.835,200,31.930297
5742.102156,0.84,0.84,200,36.68909
5760.674772,0.87,0.89,200,41.432195
5272.832823,0.81,0.835,200,46.27756
5670.232044,0.81,0.83,200,51.096913
5728.0965,0.825,0.83,200,58.294215
5642.698781,0.81,0.82,200,63.12972
5634.240685,0.81,0.81,200,67.898532
5261.62198,0.82,0.825,200,72.597611
4234.155464,0.86,0.86,200,77.197329
3273.848897,0.87,0.875,200,82.012845
5745.217868,0.855,0.86,200,86.795954
5406.411316,0.8,0.805,200,91.566095
4406.72154,0.86,0.86,200,96.392258
3434.263823,0.87,0.88,200,101.112573
2930.114521,0.875,0.875,200,108.131688
4943.762987,0.795,0.82,200,113.034219
5666.973096,0.8,0.805,200,117.768031
5725.920679,0.83,0.83,200,122.559393
4315.866358,0.84,0.85,200,127.332167
5649.904035,0.795,0.82,200,132.17543
5720.51755,0.845,0.855,200,136.957496
3448.5849,0.85,0.86,200,141.559363
5628.783374,0.79,0.805,200,146.267085
5756.392375,0.855,0.865,200,150.809738
5131.934521,0.495,0.505,200,158.060511
3389.493528,0.88,0.88,200,162.745286
3216.83344,0.88,0.88,200,167.478661
5517.188388,0.785,0.79,200,172.176584
5731.474781,0.83,0.835,200,176.79046
2813.974997,0.875,0.88,200,181.511441
5608.78427,0.78,0.795,200,186.174246
4410.364634,0.825,0.845,200,190.812662
5659.907257,0.78,0.8,200,195.654429
5671.337191,0.81,0.82,200,200.502091
2562.659561,0.87,0.87,200,207.280033
4885.254989,0.825,0.84,200,212.050353
5760.350307,0.855,0.86,200,216.628922
5636.90493,0.77,0.78,200,221.320612
5111.103918,0.57,0.575,200,226.163388
5750.685355,0.84,0.85,200,230.913759
4510.868525,0.85,0.85,200,235.727425
5760.973469,0.84,0.86,200,240.440036
5571.944571,0.78,0.795,200,245.237507
3544.138441,0.875,0.875,200,250.028608
4917.457644,0.835,0.845,200,257.066657
3075.83592,0.875,0.875,200,261.83376
5661.449134,0.815,0.82,200,266.607122
5692.571378,0.825,0.825,200,271.367886
3364.039453,0.63,0.655,200,276.107827
5393.309831,0.76,0.77,200,280.744788
3379.672514,0.86,0.86,200,285.305196
5411.696105,0.74,0.75,200,289.996163
4274.315147,0.84,0.86,200,294.827684
5669.13654,0.81,0.82,200,299.736382
5637.700201,0.8,0.815,200,307.115114
2903.809995,0.845,0.865,200,311.904456
2537.576944,0.855,0.865,200,316.711734
5486.592826,0.79,0.815,200,321.564337
5313.596174,0.835,0.845,200,326.398791
5755.007834,0.845,0.855,200,331.242978
3845.281293,0.855,0.855,200,336.043111
5567.966695,0.795,0.8,200,340.920121
5657.799396,0.815,0.82,200,345.819623
5662.506016,0.78,0.81,200,350.614792
5653.890761,0.79,0.795,200,357.854629
5571.680785,0.79,0.79,200,362.654545
5635.215716,0.805,0.805,200,367.473765
2845.852495,0.875,0.875,200,372.284547
5730.461794,0.83,0.835,200,377.007866
5731.26112,0.83,0.83,200,381.819987
2719.701924,0.72,0.72,200,386.673722
5654.75262,0.795,0.8,200,391.33039
5364.467791,0.69,0.69,200,395.898184
4280.773478,0.21,0.22,200,400.633154
5650.417245,0.805,0.805,200,407.777441
5666.135477,0.81,0.82,200,412.656303
5694.278972,0.82,0.825,200,417.478117
5059.506851,0.83,0.835,200,422.317794
5760.319474,0.85,0.865,200,427.171327
5729.631837,0.84,0.84,200,431.991737
5165.147429,0.6,0.605,200,436.899218
4643.814166,0.83,0.84,200,441.723877
2829.075889,0.87,0.88,200,446.645817
4914.05267,0.55,0.55,200,451.416956
5416.378017,0.855,0.865,200,458.385922
5070.593794,0.89,0.89,200,463.280744
2641.894421,0.85,0.87,200,468.113748
4284.664367,0.835,0.855,200,472.938402
