# {"t_start": 1757073748.7668674, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
5678.588346,0.81,0.83,200,7.336868
5737.887749,0.85,0.855,200,11.952704
5749.09601,0.855,0.865,200,16.651836
5753.066681,0.85,0.86,200,21.324705
5053.123865,0.575,0.575,200,25.984463
3197.199959,0.87,0.87,200,30.669243
4881.329862,0.82,0.83,200,35.430735
5732.929372,0.86,0.875,200,40.181036
3092.340479,0.875,0.88,200,45.014231
2743.619708,0.42,0.425,200,49.829311
4737.290047,0.375,0.375,200,57.030433
3329.448203,0.845,0.86,200,61.868811
4758.951232,0.83,0.85,200,66.632629
3167.230484,0.875,0.875,200,71.334434
5756.097631,0.85,0.855,200,75.935825
5742.166383,0.835,0.845,200,80.745595
5740.650105,0.84,0.84,200,85.528722
5740.433266,0.83,0.845,200,90.303067
3091.839314,0.88,0.885,200,95.130779
5444.262842,0.775,0.775,200,99.847345
5719.078544,0.82,0.825,200,106.866429
5753.388993,0.84,0.855,200,111.772938
5658.811586,0.8,0.805,200,116.509007
5736.028786,0.855,0.86,200,121.291989
2544.594763,0.85,0.87,200,126.066083
5496.923446,0.74,0.74,200,130.908368
5406.338734,0.76,0.765,200,135.698394
5469.608084,0.765,0.78,200,140.289612
5507.486602,0.775,0.785,200,145.003741
5742.650046,0.845,0.85,200,149.550574
5690.707847,0.825,0.83,200,156.792172
5760.478641,0.86,0.865,200,161.482102
5680.784527,0.81,0.825,200,166.215383
5701.296702,0.83,0.83,200,170.913288
2964.549065,0.88,0.88,200,175.522867
5516.649411,0.785,0.785,200,180.253491
5664.983475,0.81,0.825,200,184.9069
5595.847456,0.815,0.83,200,189.552478
5765.200253,0.855,0.875,200,194.390442
5691.992382,0.82,0.83,200,199.238912
5220.678336,0.605,0.615,200,206.018323
2907.575616,0.865,0.875,200,210.788699
5681.351905,0.79,0.805,200,215.362847
4155.74472,0.86,0.87,200,220.062928
5524.525237,0.79,0.79,200,224.894288
4750.336757,0.47,0.48,200,229.650833
5492.117536,0.78,0.78,200,234.464732
5750.653967,0.86,0.86,200,239.178872
5755.086721,0.845,0.855,200,243.975987
4374.235789,0.47,0.475,200,248.766514
4368.271147,0.83,0.855,200,255.804573
5736.747714,0.84,0.84,200,260.581773
5461.695288,0.77,0.78,200,265.345047
3187.63942,0.85,0.865,200,270.104551
4794.799543,0.83,0.85,200,274.848323
5739.280136,0.83,0.845,200,279.484864
5419.119171,0.735,0.735,200,284.043376
4837.385698,0.51,0.515,200,288.732731
5160.88644,0.83,0.835,200,293.56653
5434.0796,0.765,0.78,200,298.478905
4518.33822,0.84,0.855,200,305.847983
3008.879401,0.87,0.87,200,310.642197
2986.179685,0.875,0.875,200,315.447125
5751.995578,0.84,0.85,200,320.298976
5437.353375,0.78,0.78,200,325.136494
5725.98148,0.82,0.835,200,329.980325
3875.20297,0.86,0.86,200,334.784648
5054.272854,0.665,0.685,200,339.656978
3669.490799,0.825,0.85,200,344.555165
2757.524684,0.855,0.86,200,349.350734
3225.593759,0.865,0.865,200,356.582317
3168.741545,0.865,0.865,200,361.38973
5665.475241,0.815,0.82,200,366.21262
3865.841313,0.875,0.875,200,371.025886
5734.838349,0.855,0.87,200,375.745414
3235.972788,0.705,0.705,200,380.554667
5748.280371,0.84,0.86,200,385.402318
3341.93072,0.84,0.865,200,390.06194
5550.593799,0.805,0.805,200,394.637658
5670.950086,0.805,0.82,200,399.380872
2903.492097,0.86,0.875,200,406.512097
3834.065794,0.04,0.05,200,411.400805
3275.227881,0.88,0.88,200,416.199664
4154.335549,0.875,0.875,200,421.057949
5722.305943,0.825,0.83,200,425.904112
5643.531209,0.815,0.82,200,430.732048
5679.252352,0.815,0.83,200,435.634118
5667.670653,0.785,0.8,200,440.466101
5231.708929,0.615,0.615,200,445.384177
4441.673188,0.825,0.845,200,450.154818
3666.965375,0.85,0.865,200,457.124867
5594.2693,0.79,0.8,200,462.013194
4486.945146,0.84,0.84,200,466.848173
5409.042081,0.72,0.72,200,471.676261
5744.693984,0.84,0.845,200,476.450871
4268.23411,0.81,0.845,200,481.308524
5467.578899,0.81,0.82,200,486.176787
4578.258759,0.845,0.855,200,491.016442
2709.100088,0.875,0.875,200,495.675194
5740.662255,0.845,0.845,200,500.430288
2651.608366,0.86,0.865,200,507.532841
5497.068982,0.765,0.785,200,512.398788
5638.858582,0.81,0.815,200,517.307465
2693.663021,0.875,0.875,200,522.089863
2739.675466,0.84,0.855,200,526.799104
4953.666421,0.555,0.56,200,531.579859
5666.952372,0.8,0.8,200,536.236901
5737.781651,0.835,0.84,200,540.965314
5058.799569,0.81,0.825,200,545.792686
5736.195871,0.835,0.84,200,550.642432
5757.44232,0.865,0.87,200,557.617578
2990.343831,0.88,0.88,200,562.396611
2935.626406,0.885,0.885,200,567.297859
5633.631464,0.765,0.765,200,572.057162
4727.364244,0.81,0.835,200,576.914479
5696.526822,0.825,0.83,200,581.490463
4545.961367,0.06,0.065,200,586.103132
5454.419546,0.8,0.825,200,590.914274
2542.79692,0.875,0.875,200,595.672378
5404.26893,0.755,0.765,200,600.37197
5724.25645,0.82,0.835,200,607.290719
3507.355106,0.045,0.055,200,612.11341
5705.880388,0.83,0.835,200,616.888441
2964.39913,0.86,0.865,200,621.560537
5230.776309,0.52,0.525,200,626.226701
4788.94575,0.845,0.865,200,631.101794
5735.002036,0.82,0.845,200,635.851585
5401.292565,0.715,0.72,200,640.487775
5678.264536,0.84,0.845,200,645.248301
5698.03093,0.825,0.825,200,650.079265
2705.017973,0.87,0.87,200,657.150441
5496.495946,0.75,0.75,200,661.98806
5761.880742,0.835,0.86,200,666.666022
5696.604083,0.815,0.83,200,671.46767
5748.921554,0.86,0.87,200,676.134095
4204.821218,0.875,0.88,200,680.904389
5726.241097,0.835,0.835,200,685.533931
2898.303521,0.855,0.855,200,690.218556
4335.681793,0.84,0.85,200,694.964707
4863.95427,0.865,0.865,200,699.668806
2868.192156,0.515,0.515,200,706.426915
5635.339866,0.805,0.805,200,711.197971
2917.840157,0.875,0.875,200,715.879385
5497.536301,0.785,0.785,200,720.69588
5470.682589,0.795,0.8,200,725.42157
5756.678068,0.85,0.855,200,730.257325
5320.841562,0.81,0.81,200,734.925589
5604.49022,0.805,0.825,200,739.696145
5754.214511,0.85,0.86,200,744.434
4672.47753,0.845,0.855,200,749.222186
5752.361171,0.865,0.875,200,756.168697
3977.385544,0.845,0.845,200,760.922311
5747.760946,0.84,0.85,200,765.761639
5666.292659,0.795,0.815,200,770.472105
3386.540816,0.83,0.85,200,775.063551
5732.248382,0.85,0.855,200,779.689189
5496.645302,0.78,0.785,200,784.287366
5272.117522,0.815,0.82,200,789.083507
5147.272152,0.87,0.905,200,793.905162
5735.772895,0.84,0.85,200,798.752867
5751.118757,0.84,0.86,200,805.739086
5279.399372,0.565,0.595,200,810.604354
5652.639214,0.81,0.81,200,815.461626
5650.232401,0.78,0.78,200,820.348065
5717.294593,0.835,0.84,200,825.076136
5436.873454,0.81,0.81,200,829.828655
3563.530161,0.865,0.865,200,834.518281
2572.706961,0.875,0.885,200,839.35864
5496.847027,0.775,0.785,200,844.157659
5011.661717,0.815,0.825,200,848.960783
2136.128724,0.045,0.05,200,856.031484
5516.135038,0.795,0.8,200,860.753
5637.289149,0.815,0.815,200,865.604695
3779.03922,0.105,0.12,200,870.352597
5744.332112,0.84,0.85,200,875.150734
5757.002125,0.85,0.855,200,879.983342
3017.86515,0.865,0.87,200,884.856845
5550.957225,0.775,0.775,200,889.655043
3434.772791,0.885,0.885,200,894.454989
5141.579593,0.81,0.82,200,899.274381
5742.477137,0.84,0.85,200,906.076563
2809.00848,0.86,0.87,200,910.709278
5685.098758,0.835,0.835,200,915.417171
5645.14432,0.81,0.81,200,920.24633
5751.517208,0.845,0.86,200,925.08807
5732.139097,0.835,0.845,200,929.828749
5704.381498,0.82,0.835,200,934.605288
5758.900278,0.855,0.875,200,939.384041
5624.935354,0.805,0.815,200,944.140778
5670.303357,0.81,0.82,200,949.025878
5641.526736,0.82,0.82,200,956.119229
5675.549931,0.805,0.805,200,960.898399
3594.893032,0.835,0.855,200,965.708164
5444.761781,0.765,0.775,200,970.541333
4879.032237,0.825,0.83,200,975.396233
5669.210169,0.795,0.805,200,980.138624
5698.552097,0.835,0.835,200,984.863392
5747.110572,0.84,0.845,200,989.487903
5732.986727,0.855,0.865,200,994.149889
3480.847761,0.84,0.85,200,998.864833
3875.673924,0.88,0.88,200,1005.873778
5522.964206,0.79,0.795,200,1010.621013
5490.516171,0.78,0.78,200,1015.502924
5162.032577,0.815,0.825,200,1020.174335
5268.320995,0.555,0.555,200,1024.794574
2832.729074,0.855,0.86,200,1029.473592
5643.357883,0.79,0.79,200,1034.184123
5027.908576,0.805,0.825,200,1038.897797
5717.029445,0.83,0.835,200,1043.603069
5730.520533,0.84,0.84,200,1048.481489
2729.593627,0.86,0.86,200,1055.501406
2771.779378,0.85,0.86,200,1060.223749
5652.47495,0.815,0.82,200,1064.943483
5422.925213,0.8,0.815,200,1069.669318
5723.611794,0.835,0.835,200,1074.419181
5534.064873,0.78,0.8,200,1079.226785
5714.005382,0.85,0.85,200,1083.970166
3913.201338,0.855,0.86,200,1088.690866
5462.279017,0.78,0.78,200,1093.492972
