# {"t_start": 1757073748.9356425, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
5646.971601,0.805,0.81,200,7.168401
4562.035161,0.84,0.86,200,11.784965
5746.833912,0.845,0.86,200,16.472405
5714.376274,0.83,0.835,200,21.1561
4597.958792,0.825,0.85,200,25.818632
5746.98873,0.845,0.845,200,30.50169
5684.15918,0.815,0.82,200,35.258623
5313.217601,0.865,0.865,200,40.007145
5266.186398,0.74,0.745,200,44.845587
5741.095566,0.845,0.845,200,49.666867
4827.885725,0.89,0.89,200,56.862391
5623.651618,0.775,0.78,200,61.700493
5611.151792,0.79,0.795,200,66.46489
2640.099243,0.875,0.875,200,71.165729
5671.780901,0.82,0.825,200,75.767157
5751.164069,0.84,0.85,200,80.581243
4595.051214,0.825,0.855,200,85.363709
5660.275355,0.855,0.865,200,90.133003
2789.289384,0.405,0.42,200,94.965554
4254.219322,0.13,0.13,200,99.677308
2566.231674,0.875,0.875,200,106.697667
5545.116476,0.78,0.79,200,111.609224
5754.057577,0.855,0.87,200,116.334878
2715.692514,0.875,0.88,200,121.128335
5742.534667,0.835,0.855,200,125.898655
5658.234675,0.79,0.79,200,130.735884
2986.974435,0.85,0.86,200,135.520075
5739.558655,0.84,0.84,200,140.124775
5463.762503,0.78,0.78,200,144.832781
3447.388049,0.84,0.855,200,149.376871
5677.754004,0.78,0.805,200,156.62801
2889.752762,0.875,0.875,200,161.313426
5667.208779,0.805,0.82,200,166.04699
5706.209798,0.83,0.83,200,170.736415
5646.133544,0.815,0.82,200,175.359517
5402.956022,0.72,0.72,200,180.081486
5582.992961,0.785,0.795,200,184.742543
4100.770099,0.085,0.09,200,189.380383
5070.724196,0.795,0.835,200,194.225224
3594.310157,0.885,0.885,200,199.070129
4168.753958,0.855,0.865,200,205.862261
5574.018866,0.8,0.815,200,210.619019
5658.495248,0.82,0.82,200,215.196779
5643.468053,0.775,0.785,200,219.890832
3036.966108,0.87,0.87,200,224.730733
5668.068307,0.81,0.81,200,229.486199
5612.479054,0.79,0.8,200,234.295576
4439.801122,0.85,0.86,200,239.013466
5258.185644,0.83,0.835,200,243.810009
2941.762973,0.87,0.875,200,248.59765
5665.640126,0.815,0.825,200,255.636525
3517.426431,0.67,0.67,200,260.405859
5049.803418,0.81,0.83,200,265.176905
3367.464004,0.86,0.87,200,269.93472
2888.268348,0.875,0.875,200,274.678575
2908.885713,0.895,0.895,200,279.312201
4719.891261,0.885,0.885,200,283.875201
2749.868377,0.885,0.885,200,288.558798
3530.709348,0.54,0.54,200,293.397949
5669.800092,0.785,0.81,200,298.309184
5645.655959,0.81,0.82,200,305.682253
5192.473866,0.83,0.83,200,310.472532
5604.892564,0.81,0.815,200,315.280389
5637.500345,0.79,0.8,200,320.132141
5683.743279,0.82,0.82,200,324.965722
2910.515102,0.03,0.035,200,329.810981
5102.351933,0.82,0.84,200,334.615678
2813.306848,0.88,0.88,200,339.488475
3472.328808,0.89,0.89,200,344.388875
2889.928135,0.855,0.87,200,349.181992
2890.61877,0.865,0.865,200,356.420845
5303.026886,0.83,0.83,200,361.222071
4953.333303,0.81,0.83,200,366.04107
3080.214799,0.515,0.515,200,370.857173
5741.603022,0.84,0.845,200,375.573545
2780.692609,0.87,0.87,200,380.385871
5679.074256,0.805,0.82,200,385.236525
2947.07753,0.875,0.875,200,389.898577
4940.764291,0.72,0.73,200,394.468523
5451.289386,0.77,0.77,200,399.210623
5741.616821,0.82,0.845,200,406.349923
4004.163728,0.845,0.845,200,411.229265
3632.396934,0.83,0.85,200,416.041193
5724.920055,0.83,0.835,200,420.890673
3558.628251,0.84,0.87,200,425.74334
5743.860215,0.855,0.875,200,430.565225
4049.428161,0.885,0.885,200,435.470428
5751.399986,0.845,0.855,200,440.296199
5654.998594,0.825,0.825,200,445.213478
5756.814153,0.835,0.855,200,449.986049
5469.439788,0.775,0.78,200,456.958809
3102.894991,0.865,0.87,200,461.848044
3621.149777,0.85,0.855,200,466.682813
2642.410331,0.88,0.88,200,471.506897
5481.744422,0.77,0.78,200,476.279497
5641.591312,0.815,0.82,200,481.139908
2778.981506,0.875,0.875,200,486.008074
2700.757143,0.105,0.115,200,490.8417
5345.156988,0.81,0.825,200,495.510368
5511.845015,0.77,0.775,200,500.260899
5586.394271,0.795,0.81,200,507.364308
