# {"t_start": 1757073746.8835962, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
3617.619977,0.86,0.86,200,9.219321
4404.424113,0.15,0.15,200,13.837079
3512.264046,0.435,0.435,200,18.531937
4431.489595,0.855,0.86,200,23.195867
5664.080686,0.79,0.8,200,27.865402
2608.093359,0.89,0.89,200,32.552848
4338.383663,0.83,0.85,200,37.313472
5374.565892,0.805,0.825,200,42.061595
5625.273739,0.81,0.81,200,46.897807
5727.735172,0.83,0.84,200,51.71469
5482.140981,0.795,0.795,200,58.915817
5668.606911,0.805,0.83,200,63.747723
5438.76877,0.775,0.775,200,68.520386
5272.436778,0.86,0.87,200,73.216033
5427.910953,0.78,0.78,200,77.816209
3047.517577,0.865,0.865,200,82.63615
5759.832453,0.86,0.88,200,87.416325
4951.84804,0.385,0.39,200,92.184057
3229.539153,0.885,0.885,200,97.014997
5581.310091,0.805,0.81,200,101.733473
5466.468953,0.775,0.775,200,108.752817
5669.39143,0.8,0.8,200,113.661334
5666.046451,0.81,0.815,200,118.387944
5679.050017,0.805,0.81,200,123.182946
4999.414724,0.83,0.84,200,127.950779
5007.630898,0.545,0.55,200,132.794647
4764.514571,0.48,0.485,200,137.581395
4936.940806,0.84,0.84,200,142.17138
5649.184791,0.815,0.815,200,146.892282
5462.763349,0.81,0.835,200,151.431123
3750.782641,0.7,0.71,200,158.678121
5271.519329,0.815,0.825,200,163.361386
5472.017598,0.79,0.79,200,168.097118
5173.087517,0.69,0.69,200,172.796807
5326.820245,0.455,0.455,200,177.410661
2762.33434,0.845,0.855,200,182.1337
5722.978364,0.83,0.83,200,186.793046
5362.725373,0.81,0.83,200,191.434245
5487.452447,0.78,0.785,200,196.277151
5587.863042,0.82,0.83,200,201.120613
2572.141985,0.875,0.875,200,207.902432
5265.287837,0.83,0.84,200,212.666686
5127.050351,0.84,0.845,200,217.248953
4668.765946,0.46,0.485,200,221.943445
5720.583743,0.82,0.835,200,226.787788
3263.130425,0.88,0.88,200,231.536876
5752.694127,0.835,0.85,200,236.347155
5750.786794,0.845,0.855,200,241.059427
4986.432352,0.26,0.26,200,245.864539
5739.79645,0.85,0.86,200,250.649222
4504.217888,0.815,0.83,200,257.689065
3683.697628,0.865,0.865,200,262.462252
4704.731296,0.81,0.835,200,267.231795
5169.924598,0.845,0.845,200,271.987281
5741.507709,0.855,0.87,200,276.730928
3105.281146,0.86,0.86,200,281.36851
5765.471799,0.865,0.865,200,285.920373
4018.574991,0.07,0.07,200,290.612032
2825.236332,0.85,0.86,200,295.447347
5671.31029,0.82,0.825,200,300.360876
5751.780824,0.845,0.85,200,307.729939
5660.137483,0.82,0.82,200,312.526292
3728.558247,0.28,0.295,200,317.327307
5719.409783,0.83,0.84,200,322.183314
3043.297346,0.855,0.875,200,327.007262
5648.633374,0.785,0.79,200,331.862293
2495.711289,0.87,0.87,200,336.66828
3664.598144,0.105,0.125,200,341.536584
5321.178238,0.805,0.83,200,346.440717
4558.679164,0.845,0.85,200,351.236093
5734.692093,0.86,0.86,200,358.478238
3068.372902,0.675,0.69,200,363.275104
5066.746011,0.8,0.825,200,368.093199
5565.296461,0.805,0.805,200,372.909337
4696.454197,0.815,0.83,200,377.62401
5642.284927,0.82,0.82,200,382.437919
2802.412418,0.875,0.88,200,387.289836
5425.205808,0.77,0.775,200,391.950915
5202.069823,0.485,0.485,200,396.519301
5737.22992,0.825,0.84,200,401.262792
5629.150182,0.775,0.78,200,408.400897
5212.572378,0.565,0.57,200,413.278321
5612.677773,0.805,0.81,200,418.092366
5765.358744,0.86,0.88,200,422.943387
4212.072949,0.85,0.87,200,427.788963
4605.833455,0.825,0.845,200,432.615697
4284.280526,0.835,0.835,200,437.519374
2942.930189,0.865,0.865,200,442.348519
5679.749634,0.82,0.825,200,447.265575
5604.564244,0.78,0.785,200,452.036987
3891.082407,0.875,0.88,200,459.008164
5672.875504,0.8,0.82,200,463.896588
4713.404575,0.825,0.825,200,468.734792
5531.791269,0.785,0.79,200,473.557184
4118.283992,0.6,0.6,200,478.332804
4650.167553,0.88,0.88,200,483.191993
5068.031163,0.53,0.545,200,488.060218
5725.524767,0.835,0.835,200,492.901735
4814.253435,0.795,0.83,200,497.562419
4313.936313,0.84,0.855,200,502.312724
5759.803609,0.86,0.88,200,509.416221
4895.886552,0.82,0.835,200,514.284643
2698.008308,0.855,0.855,200,519.188868
5709.225955,0.82,0.825,200,523.97531
5684.945415,0.805,0.815,200,528.682495
