# {"t_start": 1757073747.5986838, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
5754.468594,0.87,0.88,200,8.508588
5742.995729,0.845,0.845,200,13.122842
5164.220486,0.485,0.49,200,17.814471
5726.102427,0.835,0.84,200,22.490017
4774.285157,0.87,0.87,200,27.154747
5733.325819,0.825,0.845,200,31.839273
2777.086812,0.895,0.895,200,36.598804
5724.665576,0.86,0.865,200,41.34743
5665.95906,0.815,0.815,200,46.175471
5679.117963,0.78,0.795,200,50.998989
5565.328738,0.79,0.805,200,58.202723
3078.954613,0.865,0.865,200,63.032301
5671.297569,0.815,0.82,200,67.804499
3970.388487,0.87,0.87,200,72.498012
2560.168074,0.865,0.865,200,77.099653
5742.590713,0.85,0.86,200,81.92063
5696.809343,0.815,0.82,200,86.699339
5749.291241,0.85,0.865,200,91.467516
5724.002394,0.83,0.84,200,96.305643
5748.031326,0.825,0.855,200,101.018051
5771.098165,0.855,0.87,200,108.031855
4389.369136,0.835,0.855,200,112.942448
5758.870408,0.865,0.87,200,117.672214
4666.679312,0.84,0.855,200,122.462178
5736.239626,0.84,0.845,200,127.237789
2988.987543,0.85,0.865,200,132.078616
5676.247139,0.79,0.8,200,136.863099
5742.740826,0.845,0.845,200,141.459033
4014.989789,0.84,0.86,200,146.17782
5540.701201,0.8,0.8,200,150.71851
3322.351424,0.855,0.865,200,157.966049
2778.92515,0.855,0.87,200,162.648171
4723.790213,0.82,0.825,200,167.386073
4538.964314,0.82,0.84,200,172.076475
5621.129238,0.8,0.81,200,176.695091
5522.8723,0.795,0.805,200,181.420039
5647.231215,0.8,0.805,200,186.080054
5578.965624,0.795,0.81,200,190.719172
5471.232535,0.81,0.815,200,195.562301
2783.93593,0.885,0.885,200,200.405339
5750.064186,0.855,0.86,200,207.189316
4706.913977,0.825,0.84,200,211.956366
5688.095735,0.805,0.815,200,216.532403
4333.918446,0.375,0.395,200,221.228064
3281.587406,0.86,0.87,200,226.072128
5761.684953,0.86,0.87,200,230.821739
4340.744903,0.88,0.885,200,235.632923
5525.660962,0.78,0.795,200,240.348359
5554.296938,0.8,0.8,200,245.146167
4017.005577,0.885,0.89,200,249.935302
5712.159742,0.83,0.84,200,256.973722
5255.174182,0.8,0.82,200,261.74902
5631.320115,0.795,0.82,200,266.510894
3117.131626,0.855,0.87,200,271.277623
5756.248883,0.86,0.865,200,276.015078
5667.135763,0.785,0.795,200,280.653534
5049.704926,0.23,0.23,200,285.208315
5718.141189,0.865,0.87,200,289.897354
5722.080387,0.825,0.84,200,294.733471
4909.357969,0.825,0.85,200,299.64719
4388.204639,0.885,0.885,200,307.017408
5748.866472,0.855,0.855,200,311.80652
5746.501169,0.84,0.855,200,316.617086
3048.00739,0.865,0.865,200,321.468326
5076.110405,0.875,0.88,200,326.304255
5631.467368,0.785,0.8,200,331.152202
5477.424707,0.77,0.78,200,335.953762
4919.2831,0.81,0.835,200,340.825738
5712.047439,0.835,0.835,200,345.724095
5644.563113,0.815,0.82,200,350.518088
5639.136713,0.8,0.81,200,357.763629
5729.475076,0.83,0.845,200,362.558348
4123.809841,0.83,0.86,200,367.379946
4211.024687,0.84,0.86,200,372.194403
3817.491512,0.875,0.875,200,376.917636
5639.084339,0.79,0.795,200,381.723226
5021.508275,0.805,0.82,200,386.573604
5700.412348,0.845,0.855,200,391.23508
5655.03715,0.8,0.82,200,395.807935
5651.59008,0.8,0.805,200,400.548188
4605.233951,0.8,0.83,200,407.685825
2877.434335,0.86,0.86,200,412.566585
3247.485964,0.18,0.185,200,417.373477
4623.464433,0.82,0.83,200,422.228317
5665.21345,0.79,0.795,200,427.07606
5440.999228,0.775,0.78,200,431.900966
5753.73607,0.855,0.865,200,436.801084
5718.04757,0.825,0.83,200,441.622592
5407.693822,0.755,0.765,200,446.554291
5742.113825,0.835,0.855,200,451.322512
3170.613837,0.84,0.855,200,458.295979
5556.01169,0.8,0.805,200,463.183566
2523.564648,0.885,0.885,200,468.017639
5743.33442,0.835,0.85,200,472.846916
3467.552362,0.865,0.865,200,477.616018
2613.902893,0.86,0.86,200,482.477084
5747.969348,0.835,0.85,200,487.337911
2684.056692,0.86,0.86,200,492.186542
4301.363136,0.83,0.845,200,496.847049
5742.299186,0.85,0.875,200,501.597802
4425.564422,0.84,0.85,200,508.701448
5581.524346,0.79,0.795,200,513.569974
5750.943311,0.85,0.87,200,518.475785
4499.803963,0.84,0.84,200,523.259311
5690.262002,0.805,0.83,200,527.967679
5782.922483,0.87,0.89,200,532.747728
4268.603444,0.84,0.86,200,537.403676
5659.918966,0.795,0.795,200,542.136488
5624.196143,0.8,0.81,200,546.955923
4744.958159,0.7,0.7,200,551.81314
5743.859107,0.84,0.85,200,558.779397
3106.563579,0.86,0.87,200,563.557908
4880.055907,0.835,0.84,200,568.461511
3167.798012,0.865,0.875,200,573.224752
5746.326591,0.87,0.88,200,578.084692
5590.536066,0.77,0.77,200,582.659031
5731.51361,0.87,0.87,200,587.272659
5581.919031,0.8,0.81,200,592.077361
5678.413811,0.81,0.825,200,596.834139
2900.581593,0.865,0.865,200,601.5403
4257.631889,0.84,0.86,200,608.464672
2609.418335,0.86,0.86,200,613.285093
3757.321345,0.885,0.885,200,618.057802
5712.463918,0.86,0.87,200,622.727422
5730.538346,0.87,0.87,200,627.397553
4761.793439,0.86,0.86,200,632.270151
3696.340981,0.55,0.55,200,637.020644
5706.446692,0.825,0.83,200,641.658503
5652.975763,0.81,0.825,200,646.416005
5502.694029,0.79,0.79,200,651.253406
