# {"t_start": 1757028362.1608095, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
2427.212971,0.845,0.85,200,7.771635
2459.584329,0.83,0.845,200,12.086395
3453.849995,0.86,0.86,200,16.276593
2567.758169,0.85,0.865,200,20.572552
3087.550659,0.845,0.865,200,25.877926
2593.921301,0.835,0.84,200,30.309649
2533.418695,0.835,0.835,200,34.717665
2615.996401,0.855,0.88,200,39.108887
3431.347488,0.82,0.83,200,44.341243
2527.611577,0.805,0.82,200,48.969985
2503.014677,0.83,0.83,200,53.559147
2415.372516,0.815,0.825,200,58.020936
3231.341527,0.81,0.81,200,63.227778
3362.304481,0.825,0.83,200,67.702711
3811.648261,0.875,0.875,200,72.393153
3119.044512,0.865,0.87,200,76.885307
2575.152014,0.85,0.855,200,81.959311
3343.317963,0.8,0.8,200,86.277461
2872.807463,0.865,0.865,200,90.581437
3648.457624,0.835,0.85,200,94.861373
3093.772643,0.87,0.87,200,99.813302
3538.634068,0.8,0.83,200,104.19531
3249.842215,0.8,0.81,200,108.587532
2395.659615,0.835,0.835,200,112.926551
3551.502302,0.84,0.85,200,117.904563
3384.263808,0.795,0.815,200,122.231218
2558.548606,0.855,0.86,200,126.436155
3162.040506,0.85,0.86,200,130.781493
3328.518466,0.79,0.805,200,136.034439
2572.30234,0.855,0.865,200,140.485931
2950.728994,0.45,0.46,200,144.848897
2925.775034,0.855,0.865,200,149.277815
3528.891148,0.87,0.87,200,154.591744
2434.74016,0.79,0.79,200,159.089435
2447.827618,0.83,0.835,200,163.509132
3158.589065,0.88,0.88,200,167.896599
3294.062875,0.78,0.79,200,172.951343
3463.667981,0.815,0.85,200,177.528044
3638.70993,0.78,0.81,200,181.955534
3433.667478,0.8,0.82,200,186.288695
2990.060731,0.87,0.87,200,191.177376
3704.357438,0.815,0.84,200,195.659602
2542.634532,0.845,0.85,200,200.086169
3338.098028,0.77,0.795,200,204.603586
2898.197588,0.815,0.83,200,209.808297
2536.12092,0.835,0.845,200,214.31388
3679.142503,0.84,0.845,200,218.992357
2547.360834,0.84,0.855,200,223.46847
3358.837805,0.79,0.805,200,228.732909
3534.141821,0.87,0.87,200,233.175096
3642.139016,0.835,0.85,200,237.820146
3497.198286,0.86,0.87,200,242.424405
3649.043655,0.81,0.815,200,247.657324
2453.176063,0.83,0.83,200,252.15531
3698.719608,0.82,0.855,200,256.662849
2557.147535,0.785,0.785,200,261.274393
3592.021913,0.845,0.86,200,266.679473
2318.505423,0.77,0.77,200,271.29144
3447.362547,0.845,0.86,200,275.779839
2912.229717,0.81,0.82,200,280.506178
2533.767116,0.815,0.815,200,285.842364
3084.041485,0.85,0.855,200,290.520601
3014.077051,0.85,0.86,200,295.210892
3652.680435,0.79,0.82,200,299.897152
3654.198873,0.83,0.85,200,305.21526
2578.146722,0.84,0.85,200,309.810377
3246.819613,0.85,0.85,200,314.400987
2870.655452,0.795,0.795,200,319.0797
3056.908345,0.805,0.825,200,324.383485
3623.459014,0.775,0.795,200,329.059067
3510.524474,0.795,0.81,200,333.705658
3576.60012,0.765,0.79,200,338.308244
2934.643784,0.805,0.815,200,343.58231
3092.121679,0.865,0.87,200,348.300365
2508.223879,0.835,0.855,200,352.879492
2532.011362,0.835,0.845,200,357.467946
3510.11839,0.885,0.885,200,362.789694
3613.73316,0.8,0.81,200,367.471919
2503.320366,0.845,0.855,200,372.002438
2292.37223,0.76,0.76,200,376.627033
3611.152058,0.795,0.81,200,382.152167
3100.66452,0.82,0.83,200,386.859843
2847.107064,0.835,0.835,200,391.467661
3712.767425,0.82,0.84,200,395.950286
2604.154881,0.84,0.85,200,401.376076
2560.092652,0.85,0.855,200,406.094307
2872.634922,0.77,0.775,200,410.700161
3730.433516,0.805,0.835,200,415.281926
3320.341074,0.87,0.88,200,420.562944
2945.751133,0.34,0.36,200,425.225899
2556.711911,0.86,0.885,200,429.866365
3989.219539,0.895,0.895,200,434.501072
3016.222152,0.84,0.865,200,439.957748
3698.567706,0.815,0.84,200,444.761962
2452.869219,0.775,0.775,200,449.593185
3425.90077,0.83,0.84,200,454.228878
3456.273537,0.785,0.79,200,459.553437
3689.682801,0.835,0.845,200,464.284321
2073.813827,0.31,0.315,200,469.066729
3410.282588,0.66,0.71,200,473.763423
2468.187102,0.075,0.09,200,478.946595
3833.810958,0.88,0.88,200,483.433733
3716.44967,0.825,0.835,200,488.055703
2530.190818,0.84,0.855,200,492.730666
2193.77885,0.385,0.39,200,498.16216
2498.917263,0.84,0.85,200,502.982419
3818.789334,0.795,0.8,200,507.729165
3315.442073,0.875,0.875,200,512.304938
2574.307669,0.855,0.855,200,517.513757
2400.074714,0.81,0.81,200,522.168976
2958.913053,0.795,0.8,200,526.763408
2523.251556,0.87,0.875,200,531.393003
2820.392816,0.715,0.72,200,536.739041
2583.490194,0.86,0.87,200,541.509954
3684.109653,0.84,0.85,200,546.122175
2231.887743,0.18,0.185,200,550.718143
2723.125342,0.825,0.825,200,556.083028
