# {"t_start": 1757028363.3638613, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
2412.43569,0.82,0.83,200,6.569218
3333.755973,0.845,0.845,200,10.87808
3260.284853,0.825,0.835,200,15.07601
3355.548262,0.815,0.835,200,19.372737
2430.091487,0.825,0.83,200,24.680271
3383.160904,0.79,0.8,200,29.107732
3173.981603,0.795,0.795,200,33.515598
3871.710627,0.875,0.875,200,37.905162
2517.380116,0.855,0.855,200,43.133564
3624.276979,0.88,0.88,200,47.754008
2342.799493,0.8,0.8,200,52.356093
2367.683302,0.84,0.85,200,56.819431
3455.926854,0.83,0.835,200,62.021102
3203.103225,0.79,0.81,200,66.499288
2610.891945,0.795,0.795,200,71.188773
3310.906718,0.855,0.86,200,75.677405
3019.200819,0.875,0.875,200,80.764697
3541.484166,0.88,0.88,200,85.079765
2589.148251,0.82,0.83,200,89.38039
2402.285631,0.82,0.82,200,93.656852
2272.88453,0.01,0.01,200,98.611796
3303.492277,0.785,0.795,200,102.989925
2435.774509,0.835,0.835,200,107.381889
2382.668433,0.815,0.825,200,111.729778
3379.707024,0.8,0.81,200,116.70488
2634.411487,0.85,0.865,200,121.023164
3309.32873,0.815,0.83,200,125.228554
2469.693311,0.835,0.845,200,129.570427
2444.302714,0.835,0.84,200,134.83336
2575.576815,0.835,0.84,200,139.281579
2583.000891,0.77,0.77,200,143.649101
2491.302428,0.83,0.84,200,148.074704
3653.983108,0.805,0.83,200,153.388412
3441.209268,0.83,0.84,200,157.88756
2589.794529,0.875,0.885,200,162.304281
2597.541224,0.805,0.815,200,166.696193
2348.687963,0.635,0.65,200,171.744894
3678.566553,0.815,0.82,200,176.328351
2436.002803,0.82,0.82,200,180.754567
2611.497266,0.85,0.86,200,185.087268
3437.771569,0.795,0.815,200,189.980122
3050.839232,0.86,0.86,200,194.449709
3379.683874,0.825,0.855,200,198.878571
3510.959106,0.84,0.855,200,203.399343
3076.190372,0.69,0.705,200,208.603366
3884.968873,0.8,0.8,200,213.110044
3352.328298,0.77,0.8,200,217.789647
3683.370049,0.87,0.87,200,222.26062
3774.567304,0.835,0.865,200,227.524591
2557.441778,0.855,0.865,200,231.967712
3635.111759,0.83,0.84,200,236.618257
2525.87908,0.825,0.825,200,241.221092
2380.140028,0.675,0.675,200,246.45174
2582.716524,0.84,0.845,200,250.953329
3630.03006,0.81,0.845,200,255.459343
3783.16562,0.75,0.775,200,260.074641
3072.370605,0.875,0.875,200,265.479637
3343.291898,0.79,0.82,200,270.092234
2511.022733,0.825,0.855,200,274.572356
2337.951136,0.795,0.81,200,279.303038
2958.610354,0.685,0.695,200,284.636817
2286.560785,0.77,0.78,200,289.317452
2569.970928,0.825,0.835,200,294.008698
2900.10974,0.785,0.79,200,298.689161
3744.698444,0.875,0.875,200,304.010182
3228.064377,0.86,0.865,200,308.595098
2555.109611,0.845,0.85,200,313.200942
3544.002755,0.795,0.805,200,317.870652
3718.014842,0.83,0.86,200,323.180475
3396.278279,0.785,0.79,200,327.852594
3626.456419,0.835,0.84,200,332.504178
2605.049782,0.86,0.86,200,337.102003
2538.533276,0.85,0.85,200,342.380382
3525.856064,0.795,0.795,200,347.093508
3267.520502,0.83,0.865,200,351.679204
3393.651379,0.785,0.805,200,356.263849
2585.558075,0.85,0.85,200,361.58647
3725.578931,0.835,0.84,200,366.265146
3137.542004,0.84,0.855,200,370.804359
2559.814573,0.865,0.865,200,375.41832
2582.099506,0.86,0.875,200,380.951889
2254.734536,0.77,0.77,200,385.658573
3560.905932,0.805,0.81,200,390.262988
3644.55501,0.8,0.825,200,394.74611
2466.344064,0.845,0.845,200,400.172871
3464.327991,0.785,0.79,200,404.894416
3664.765021,0.83,0.845,200,409.499502
3284.968954,0.785,0.8,200,414.078755
3651.610823,0.85,0.86,200,419.357216
2499.216064,0.85,0.85,200,424.017644
3634.017686,0.81,0.81,200,428.659817
2508.3278,0.81,0.825,200,433.292746
3087.049592,0.875,0.875,200,438.761981
2657.871094,0.855,0.865,200,443.555833
2754.888742,0.79,0.79,200,448.388266
2652.158617,0.78,0.78,200,453.024606
3436.221315,0.84,0.84,200,458.356812
3695.881387,0.84,0.855,200,463.0771
2928.22575,0.795,0.805,200,467.865901
2530.208536,0.835,0.845,200,472.553695
2619.605957,0.86,0.86,200,477.739622
3777.096544,0.82,0.855,200,482.22927
3539.437301,0.865,0.865,200,486.856571
3115.660509,0.63,0.655,200,491.530794
3684.481637,0.805,0.835,200,496.959582
2558.298492,0.875,0.88,200,501.774229
3688.150984,0.795,0.82,200,506.53007
3727.506732,0.815,0.84,200,511.102664
3854.140585,0.815,0.82,200,516.310029
2564.520665,0.85,0.85,200,520.967103
3417.848987,0.84,0.85,200,525.56111
3754.25973,0.77,0.775,200,530.185224
2735.210525,0.575,0.575,200,535.528338
2327.059453,0.775,0.785,200,540.304908
2464.355963,0.625,0.68,200,544.918471
2631.28774,0.26,0.26,200,549.514524
2517.275283,0.13,0.14,200,554.870552
2114.60685,0.575,0.59,200,559.522457
3655.186422,0.87,0.875,200,564.24136
3688.604977,0.83,0.83,200,568.853643
2572.915909,0.53,0.545,200,574.061114
2525.90733,0.86,0.86,200,578.679094
3724.344401,0.82,0.85,200,583.304621
2554.494661,0.865,0.875,200,587.905586
2958.555008,0.78,0.785,200,593.098582
3456.054105,0.865,0.865,200,597.77494
2602.47037,0.84,0.855,200,602.336088
3769.697983,0.88,0.885,200,606.847715
3641.928521,0.835,0.84,200,611.935635
3708.887272,0.885,0.895,200,616.523881
