# {"t_start": 1757028363.5560248, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
3516.343413,0.8,0.835,200,6.372664
2333.510565,0.795,0.8,200,10.692723
3710.913233,0.87,0.885,200,14.884084
2473.474582,0.79,0.81,200,19.178165
3593.236263,0.88,0.88,200,24.491168
2345.443199,0.66,0.67,200,28.918879
3998.931023,0.87,0.88,200,33.324506
3309.610706,0.84,0.85,200,37.717362
3107.161577,0.845,0.865,200,42.94598
2378.152426,0.805,0.805,200,47.561985
3626.250389,0.885,0.885,200,52.163117
2705.581866,0.8,0.815,200,56.629157
2568.100495,0.865,0.88,200,61.829881
3376.623842,0.79,0.79,200,66.307238
3362.843399,0.795,0.805,200,70.99791
2848.769211,0.78,0.78,200,75.488276
3172.590108,0.795,0.8,200,80.569388
2590.60503,0.845,0.855,200,84.884452
3474.461331,0.825,0.835,200,89.185158
2395.896303,0.02,0.025,200,93.464688
2552.859866,0.82,0.84,200,98.417943
3584.839694,0.805,0.825,200,102.796188
2507.104914,0.835,0.845,200,107.19333
3238.8508,0.805,0.805,200,111.529127
2406.387557,0.795,0.81,200,116.512826
3168.020046,0.88,0.88,200,120.834722
3451.63579,0.8,0.82,200,125.042001
3396.312914,0.845,0.865,200,129.381589
3053.41432,0.85,0.87,200,134.63809
2593.215001,0.87,0.875,200,139.093324
3507.288649,0.825,0.84,200,143.453253
2895.105066,0.285,0.3,200,147.884854
3268.678486,0.79,0.8,200,153.196346
2992.000097,0.865,0.87,200,157.693296
3411.495775,0.86,0.86,200,162.117515
2307.839268,0.785,0.785,200,166.504056
2566.134943,0.86,0.875,200,171.554612
2439.572885,0.825,0.83,200,176.135601
3273.313411,0.875,0.875,200,180.561244
2278.266267,0.785,0.785,200,184.897846
3554.238717,0.77,0.785,200,189.786864
2816.033637,0.83,0.835,200,194.260791
2513.183919,0.845,0.855,200,198.690295
2532.170472,0.815,0.825,200,203.211899
3615.914784,0.81,0.82,200,208.4164
3161.29517,0.865,0.875,200,212.920005
3652.36408,0.78,0.785,200,217.596493
2561.422851,0.845,0.855,200,222.078163
3263.190916,0.8,0.81,200,227.33247
2901.355513,0.805,0.815,200,231.779415
3512.775362,0.86,0.87,200,236.42272
3644.468521,0.785,0.815,200,241.031599
2521.021272,0.865,0.865,200,246.257967
3568.988593,0.89,0.89,200,250.763659
2834.552419,0.8,0.8,200,255.265024
3514.927682,0.835,0.85,200,259.882597
2950.96211,0.785,0.785,200,265.283965
3520.663016,0.805,0.82,200,269.897793
2337.921982,0.825,0.84,200,274.382693
2304.181987,0.445,0.46,200,279.11095
3072.20099,0.85,0.865,200,284.445832
3711.933061,0.795,0.83,200,289.12829
3470.445338,0.83,0.855,200,293.812261
3214.649412,0.875,0.875,200,298.497101
3032.311512,0.855,0.87,200,303.817099
3368.437373,0.855,0.865,200,308.399994
3301.896408,0.86,0.865,200,313.009196
3620.794019,0.78,0.795,200,317.681783
2892.939831,0.165,0.17,200,322.989445
1783.793455,0.155,0.16,200,327.663626
2409.464874,0.715,0.72,200,332.313127
3748.113023,0.83,0.85,200,336.912883
2778.184248,0.8,0.8,200,342.180838
2594.790726,0.855,0.87,200,346.905016
2918.866304,0.81,0.815,200,351.487274
2583.858893,0.85,0.875,200,356.069444
3089.026187,0.815,0.82,200,361.394526
3646.88591,0.845,0.865,200,366.076313
2230.317212,0.66,0.67,200,370.609883
3728.262302,0.825,0.84,200,375.229855
3502.118424,0.8,0.805,200,380.757807
2420.447837,0.02,0.02,200,385.462882
3339.880613,0.845,0.855,200,390.072582
3032.564137,0.865,0.875,200,394.553963
3355.21089,0.875,0.875,200,399.983426
1898.428967,0.415,0.415,200,404.701505
3689.38164,0.79,0.815,200,409.307127
2527.708759,0.82,0.83,200,413.885418
2851.843252,0.79,0.79,200,419.162922
3659.413338,0.82,0.84,200,423.828682
2554.185988,0.835,0.845,200,428.465275
3949.709034,0.89,0.89,200,433.107935
3034.133534,0.795,0.805,200,438.571179
