# {"t_start": 1757028363.0632715, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
3690.245257,0.88,0.88,200,6.861789
2452.293662,0.84,0.85,200,11.174757
2490.051288,0.82,0.855,200,15.377957
2504.019088,0.815,0.845,200,19.673242
2392.275041,0.765,0.785,200,24.984351
3491.489372,0.88,0.88,200,29.411191
3319.110986,0.815,0.825,200,33.812927
3789.334809,0.845,0.85,200,38.209884
2999.416939,0.875,0.885,200,43.438501
2450.991596,0.03,0.035,200,48.05251
3173.16475,0.79,0.8,200,52.652669
2302.520781,0.64,0.64,200,57.121857
2476.439099,0.805,0.805,200,62.322491
2483.095861,0.845,0.845,200,66.800869
3412.51448,0.885,0.885,200,71.493344
2080.155456,0.445,0.45,200,75.981854
3210.108328,0.79,0.8,200,81.066019
3755.772881,0.875,0.875,200,85.380426
3039.896689,0.845,0.855,200,89.67837
2974.704981,0.86,0.87,200,93.960328
2563.772365,0.84,0.855,200,98.915332
2566.476439,0.865,0.875,200,103.292538
3269.918504,0.85,0.86,200,107.683944
3619.559687,0.825,0.845,200,112.028519
3631.250923,0.815,0.84,200,117.002934
3214.583368,0.84,0.855,200,121.326237
2413.956291,0.43,0.445,200,125.530625
3439.893984,0.875,0.875,200,129.873543
3091.214868,0.87,0.87,200,135.132726
2617.999438,0.19,0.195,200,139.582494
3655.459452,0.865,0.865,200,143.948131
2509.668108,0.845,0.845,200,148.376688
2994.456034,0.855,0.87,200,153.690082
2620.072862,0.415,0.43,200,158.18375
3241.019593,0.885,0.885,200,162.610981
3477.497688,0.8,0.83,200,166.998044
3600.126134,0.87,0.87,200,172.04571
2443.707517,0.84,0.84,200,176.624835
2992.492914,0.85,0.865,200,181.050983
2475.057626,0.535,0.54,200,185.386045
3447.204778,0.8,0.81,200,190.28097
2603.890185,0.87,0.87,200,194.74899
2458.397136,0.465,0.48,200,199.179527
2528.913301,0.84,0.845,200,203.701889
2500.043988,0.85,0.85,200,208.907465
3458.113402,0.765,0.795,200,213.410417
2399.857473,0.765,0.765,200,218.086465
3538.774589,0.815,0.845,200,222.57159
2637.877729,0.87,0.88,200,227.830214
2375.496404,0.8,0.8,200,232.272134
2574.998491,0.84,0.855,200,236.918591
3931.49001,0.815,0.835,200,241.523671
3281.425978,0.79,0.8,200,246.753317
3476.218798,0.885,0.885,200,251.256269
3190.335005,0.88,0.88,200,255.765127
3361.716366,0.795,0.81,200,260.375376
2544.85429,0.84,0.84,200,265.779749
3693.926487,0.82,0.845,200,270.390516
3743.780328,0.86,0.865,200,274.878271
2877.142321,0.775,0.78,200,279.603288
3628.360573,0.87,0.87,200,284.941866
3367.700917,0.855,0.865,200,289.617339
2871.501328,0.775,0.785,200,294.309903
3681.090753,0.81,0.855,200,298.996821
2520.318486,0.845,0.85,200,304.314389
2540.254642,0.855,0.855,200,308.89255
2719.21702,0.815,0.84,200,313.501157
3411.366964,0.78,0.8,200,318.172134
3640.466894,0.795,0.815,200,323.485758
2558.961891,0.815,0.835,200,328.156257
2980.30521,0.855,0.855,200,332.805415
3553.420738,0.81,0.82,200,337.406506
2645.724033,0.81,0.83,200,342.675233
2495.521631,0.85,0.85,200,347.395336
2291.833248,0.65,0.655,200,351.979562
3798.479978,0.87,0.87,200,356.566594
3678.822047,0.795,0.815,200,361.888231
2516.055927,0.845,0.845,200,366.57011
2921.111408,0.79,0.79,200,371.104427
3620.347674,0.805,0.83,200,375.724207
3069.587199,0.82,0.86,200,381.25023
3648.190967,0.875,0.875,200,385.958306
2548.306549,0.85,0.85,200,390.567087
3698.374799,0.865,0.865,200,395.050642
3309.724844,0.85,0.85,200,400.471559
3200.371081,0.87,0.87,200,405.192838
3008.367805,0.785,0.795,200,409.801145
3625.169594,0.885,0.885,200,414.37914
3679.357698,0.78,0.8,200,419.661164
3516.282659,0.795,0.81,200,424.321279
3295.529273,0.595,0.6,200,428.958315
3702.087308,0.825,0.845,200,433.601445
3391.838506,0.875,0.875,200,439.062449
3700.321931,0.82,0.85,200,443.858896
2805.331675,0.78,0.78,200,448.692474
2472.318963,0.81,0.825,200,453.323049
2347.850229,0.67,0.68,200,458.654994
3733.652049,0.785,0.79,200,463.38125
2538.288043,0.83,0.85,200,468.167365
2584.382191,0.86,0.87,200,472.858359
2335.34934,0.255,0.27,200,478.041811
3317.533303,0.815,0.84,200,482.527442
3007.333389,0.865,0.865,200,487.150337
3646.626597,0.84,0.86,200,491.83233
2641.00088,0.85,0.875,200,497.260078
3720.151187,0.835,0.865,200,502.076334
3049.166371,0.81,0.835,200,506.829606
2437.286935,0.775,0.775,200,511.403938
3692.594401,0.84,0.865,200,516.610477
3473.821269,0.845,0.865,200,521.268715
2396.444311,0.235,0.27,200,525.861783
3655.393733,0.805,0.815,200,530.487644
3437.493257,0.86,0.87,200,535.83071
2574.835445,0.855,0.86,200,540.61006
2773.767244,0.765,0.775,200,545.220574
3753.050468,0.825,0.86,200,549.821407
3580.673402,0.85,0.87,200,555.180973
3106.542593,0.865,0.875,200,559.827321
3932.181355,0.8,0.815,200,564.545911
2615.655334,0.855,0.87,200,569.150655
3648.612535,0.815,0.845,200,574.351508
3878.185189,0.81,0.81,200,578.979701
