# {"t_start": 1757028362.401426, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
3590.918117,0.87,0.87,200,7.531105
2884.390437,0.56,0.57,200,11.845091
3505.513778,0.87,0.87,200,16.036504
3527.669074,0.87,0.87,200,20.335411
2400.240225,0.83,0.83,200,25.64381
2641.622353,0.855,0.865,200,30.072429
2943.029061,0.885,0.885,200,34.478792
2515.720845,0.86,0.86,200,38.870967
3147.640169,0.885,0.885,200,44.09993
3688.949307,0.815,0.835,200,48.71706
3299.534739,0.89,0.89,200,53.316556
3345.451444,0.78,0.79,200,57.783818
2796.557555,0.795,0.805,200,62.987252
2563.536706,0.855,0.86,200,67.462221
2525.015004,0.84,0.855,200,72.155053
2577.420779,0.87,0.88,200,76.643516
2507.438119,0.85,0.865,200,81.722472
3101.345677,0.78,0.8,200,86.040916
3581.626777,0.88,0.88,200,90.340708
2913.374428,0.865,0.865,200,94.621692
3624.571137,0.865,0.865,200,99.577451
3420.868671,0.805,0.82,200,103.951717
2558.783411,0.795,0.8,200,108.34559
2840.31844,0.795,0.8,200,112.689884
3262.136732,0.88,0.885,200,117.6631
3321.968071,0.795,0.795,200,121.98924
1817.659419,0.255,0.255,200,126.190095
3440.773742,0.815,0.83,200,130.541738
3292.666291,0.765,0.765,200,135.790661
3683.887896,0.9,0.9,200,140.247585
3330.973704,0.775,0.79,200,144.610155
2385.02209,0.82,0.835,200,149.04134
3530.951205,0.865,0.865,200,154.35243
2452.689207,0.855,0.855,200,158.848171
3643.60274,0.83,0.845,200,163.272702
3356.99386,0.805,0.805,200,167.660228
3350.780475,0.795,0.82,200,172.706238
3668.164766,0.82,0.845,200,177.290439
2573.871117,0.85,0.865,200,181.717058
3545.966495,0.82,0.83,200,186.052128
1655.387227,0.09,0.115,200,190.936942
2597.808081,0.85,0.87,200,195.412884
3257.645123,0.81,0.815,200,199.840562
2681.438843,0.815,0.825,200,204.364973
1139.09038,0.07,0.08,200,209.566811
1969.826317,0.1,0.105,200,214.073361
2498.39046,0.84,0.85,200,218.749974
3446.663121,0.79,0.805,200,223.233034
3765.470916,0.805,0.815,200,228.491424
3257.332793,0.8,0.815,200,232.934155
2634.478023,0.245,0.255,200,237.579653
3530.818887,0.815,0.84,200,242.188521
2902.757091,0.515,0.515,200,247.411151
3649.901886,0.83,0.845,200,251.914482
2562.81029,0.84,0.84,200,256.422271
2517.159203,0.83,0.84,200,261.034205
3593.782082,0.78,0.795,200,266.44225
2548.344037,0.835,0.85,200,271.050743
2567.437204,0.82,0.84,200,275.53943
3675.198666,0.825,0.85,200,280.265954
3429.396453,0.87,0.875,200,285.601853
2919.572845,0.81,0.815,200,290.282229
3196.558076,0.87,0.87,200,294.970458
2549.353262,0.85,0.85,200,299.653947
3313.983287,0.88,0.88,200,304.97346
3100.578799,0.85,0.86,200,309.556567
2554.838362,0.865,0.87,200,314.165354
3298.124479,0.885,0.885,200,318.838169
2516.548321,0.84,0.84,200,324.148016
3396.996342,0.85,0.865,200,328.817732
3387.798798,0.77,0.775,200,333.467616
2595.017487,0.835,0.835,200,338.065169
3514.572031,0.775,0.78,200,343.340553
3511.58983,0.855,0.87,200,348.063025
3290.090045,0.86,0.875,200,352.635888
3056.497763,0.85,0.86,200,357.228072
2463.836687,0.8,0.8,200,362.549217
3648.226898,0.8,0.82,200,367.233119
2488.889777,0.84,0.845,200,371.767231
2195.851333,0.705,0.705,200,376.382856
3278.600459,0.88,0.88,200,381.908833
2561.344991,0.805,0.805,200,386.620765
2496.098221,0.84,0.855,200,391.22473
2497.610254,0.845,0.855,200,395.709314
3185.0071,0.84,0.845,200,401.134369
2897.137552,0.77,0.78,200,405.85645
2837.189481,0.86,0.865,200,410.462765
3629.054621,0.79,0.82,200,415.040245
2557.104005,0.82,0.835,200,420.318996
2601.647984,0.815,0.82,200,424.982147
2543.986355,0.845,0.865,200,429.622071
2599.718662,0.805,0.82,200,434.263786
2910.596724,0.795,0.805,200,439.728722
2572.654252,0.855,0.855,200,444.51817
3640.046535,0.845,0.845,200,449.351177
3425.880764,0.845,0.855,200,453.985326
3123.059727,0.805,0.81,200,459.312848
3349.019844,0.835,0.845,200,464.042745
3861.79143,0.795,0.795,200,468.827889
3652.500598,0.805,0.82,200,473.52058
2642.86279,0.84,0.84,200,478.706648
2285.256881,0.605,0.61,200,483.194863
3709.271455,0.855,0.87,200,487.807201
3756.051015,0.815,0.82,200,492.493428
2918.523555,0.79,0.8,200,497.925789
2563.498176,0.85,0.85,200,502.737099
3711.085881,0.83,0.85,200,507.493383
3637.340427,0.81,0.81,200,512.069545
2593.927814,0.85,0.86,200,517.263993
3661.120067,0.8,0.825,200,521.929488
3884.108978,0.78,0.78,200,526.522991
3596.956463,0.8,0.82,200,531.153844
3861.663637,0.78,0.78,200,536.4897
3676.426684,0.82,0.825,200,541.272037
2587.90335,0.835,0.835,200,545.875118
3033.983205,0.83,0.85,200,550.480176
3720.138979,0.865,0.875,200,555.841438
4059.199174,0.79,0.805,200,560.489421
2558.897299,0.85,0.86,200,565.207415
3712.828962,0.82,0.835,200,569.815554
3632.406707,0.86,0.87,200,575.022608
3601.803528,0.885,0.885,200,579.645221
2579.13635,0.845,0.845,200,584.267827
3758.840907,0.815,0.825,200,588.864045
3633.08662,0.87,0.87,200,594.059083
3770.18366,0.86,0.87,200,598.739242
3707.764391,0.87,0.875,200,603.301109
2530.413045,0.385,0.4,200,607.806817
2898.586369,0.83,0.845,200,612.893286
3725.243582,0.82,0.84,200,617.482634
2578.353913,0.825,0.83,200,621.992837
3098.275494,0.83,0.84,200,626.515051
2621.07812,0.86,0.87,200,631.997061
2600.481093,0.85,0.85,200,636.688662
2578.904318,0.85,0.86,200,641.270861
3074.81715,0.83,0.83,200,645.97758
2557.845602,0.855,0.865,200,651.225033
3310.250659,0.845,0.855,200,655.906168
3719.081818,0.8,0.83,200,660.328147
3002.85138,0.815,0.815,200,664.912711
3725.710092,0.855,0.865,200,670.082575
3655.803346,0.865,0.875,200,674.766352
3254.169752,0.55,0.555,200,679.357136
3694.11555,0.805,0.83,200,683.785857
3140.120058,0.82,0.835,200,688.93901
2995.615947,0.83,0.845,200,693.539735
3060.552295,0.82,0.825,200,697.99317
3473.556362,0.845,0.865,200,702.522984
2603.722209,0.855,0.865,200,707.80896
2555.797589,0.855,0.855,200,712.49874
2513.28288,0.855,0.86,200,717.159761
3676.962971,0.85,0.865,200,721.74244
3810.896756,0.8,0.81,200,726.987937
2593.965615,0.86,0.875,200,731.693008
2544.968199,0.865,0.865,200,736.333052
2572.336166,0.86,0.86,200,740.861058
2391.4129,0.665,0.67,200,746.235919
3291.077883,0.84,0.85,200,750.808677
3714.324853,0.86,0.865,200,755.430964
3889.761048,0.885,0.885,200,759.965264
2781.397379,0.81,0.81,200,765.30137
2562.06044,0.86,0.86,200,769.908819
3651.832878,0.84,0.85,200,774.52474
2531.547304,0.845,0.845,200,779.192083
2822.413083,0.79,0.795,200,784.501769
2619.135245,0.86,0.87,200,789.165174
3540.375281,0.845,0.855,200,793.805867
3700.914023,0.885,0.885,200,798.531588
3517.994093,0.855,0.86,200,803.88184
3640.657795,0.855,0.865,200,808.578403
3787.139192,0.86,0.87,200,813.213156
2439.938405,0.8,0.805,200,817.849661
3686.526584,0.84,0.84,200,823.078611
3727.380957,0.82,0.845,200,827.753713
2514.141466,0.515,0.535,200,832.344734
2657.472905,0.685,0.695,200,836.860359
2562.26121,0.865,0.865,200,842.127776
2524.210557,0.84,0.84,200,846.834948
2545.700607,0.845,0.865,200,851.558342
3010.242759,0.805,0.815,200,856.200127
2482.354475,0.825,0.845,200,861.650086
2559.12883,0.04,0.12,200,866.141484
2589.704706,0.855,0.855,200,870.743847
3020.454004,0.84,0.855,200,875.069961
3957.208966,0.81,0.825,200,880.263245
3907.581114,0.795,0.795,200,884.812907
2379.564208,0.725,0.735,200,889.279436
3259.316436,0.84,0.85,200,893.858053
2759.465981,0.77,0.775,200,899.000927
2744.874019,0.375,0.375,200,903.532132
3735.599495,0.865,0.865,200,908.037044
2511.37081,0.825,0.825,200,912.629811
