# {"t_start": 1757028362.6180298, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
2537.575095,0.86,0.875,200,7.31476
2523.930573,0.845,0.845,200,11.630616
2585.164176,0.525,0.525,200,15.823102
2457.496568,0.835,0.84,200,20.114541
3886.318388,0.865,0.865,200,25.4296
2507.795279,0.82,0.85,200,29.855766
3691.249156,0.89,0.89,200,34.261802
2576.77382,0.86,0.865,200,38.654584
3242.140509,0.805,0.805,200,43.883591
3404.503895,0.775,0.795,200,48.500711
3179.536951,0.785,0.81,200,53.099482
3454.105347,0.865,0.865,200,57.571362
3330.947353,0.81,0.82,200,62.771109
3718.569557,0.87,0.87,200,67.242053
3208.16013,0.865,0.87,200,71.933544
2634.374968,0.855,0.86,200,76.42437
2492.412832,0.815,0.82,200,81.508833
2563.334464,0.86,0.875,200,85.823099
2480.015073,0.845,0.845,200,90.126525
2553.788648,0.825,0.84,200,94.401949
2562.745625,0.855,0.865,200,99.356301
3539.500253,0.825,0.85,200,103.736167
2597.944751,0.865,0.865,200,108.129029
3737.024694,0.83,0.855,200,112.469705
2602.552096,0.83,0.84,200,117.444914
3081.041648,0.84,0.87,200,121.773775
3698.04987,0.785,0.805,200,125.974562
2509.290356,0.845,0.86,200,130.313625
3545.847229,0.84,0.855,200,135.573276
2913.29394,0.8,0.805,200,140.03141
3226.052788,0.85,0.86,200,144.394403
3033.748171,0.855,0.865,200,148.823034
3506.608979,0.805,0.825,200,154.134932
3659.080813,0.815,0.835,200,158.631696
3478.19495,0.805,0.81,200,163.05531
3271.7624,0.795,0.805,200,167.443084
3263.294834,0.785,0.785,200,172.494515
2826.359982,0.8,0.81,200,177.071881
3480.38051,0.805,0.825,200,181.494375
3101.0733,0.89,0.89,200,185.839449
2557.427802,0.875,0.875,200,190.72154
3716.793397,0.825,0.84,200,195.199283
2505.630902,0.835,0.845,200,199.623145
2505.800826,0.76,0.765,200,204.150819
3334.194716,0.855,0.855,200,209.351901
2561.530616,0.86,0.865,200,213.856641
3724.243519,0.87,0.875,200,218.537375
2489.441359,0.795,0.795,200,223.01666
3412.228833,0.79,0.795,200,228.273574
3814.882492,0.865,0.865,200,232.709179
2962.390414,0.83,0.835,200,237.363144
3561.297048,0.8,0.825,200,241.968421
3458.764822,0.785,0.81,200,247.199884
3518.321183,0.855,0.865,200,251.701193
2567.43464,0.86,0.86,200,256.203485
3841.53284,0.78,0.8,200,260.817534
3115.45926,0.55,0.56,200,266.224476
2537.846933,0.86,0.865,200,270.832267
2619.22843,0.83,0.84,200,275.318826
3755.526376,0.82,0.85,200,280.050239
3543.197786,0.875,0.875,200,285.385509
2533.190641,0.855,0.855,200,290.062014
2522.894874,0.84,0.85,200,294.751952
3417.71148,0.855,0.865,200,299.43884
2351.85901,0.17,0.185,200,304.759321
3681.973883,0.785,0.8,200,309.341892
2842.989488,0.77,0.785,200,313.94768
3670.11135,0.81,0.835,200,318.617447
2546.866559,0.835,0.835,200,323.929982
2968.212752,0.83,0.835,200,328.6012
3490.100334,0.8,0.82,200,333.250272
2487.010485,0.825,0.83,200,337.848835
3264.997987,0.83,0.86,200,343.122883
3746.008516,0.83,0.845,200,347.84342
3529.172668,0.87,0.87,200,352.4182
3554.684233,0.785,0.795,200,357.006601
3611.226205,0.8,0.825,200,362.332869
2538.485272,0.835,0.855,200,367.006866
3016.256191,0.815,0.815,200,371.549625
3614.945546,0.795,0.805,200,376.169967
3607.129782,0.79,0.835,200,381.695154
3436.703782,0.865,0.865,200,386.408237
2450.595944,0.87,0.87,200,391.009696
3673.861929,0.815,0.83,200,395.495677
3052.320488,0.705,0.725,200,400.916522
2565.603549,0.775,0.78,200,405.643285
2584.271188,0.85,0.86,200,410.243924
2559.961496,0.835,0.84,200,414.823759
2430.111442,0.765,0.765,200,420.106078
2470.675991,0.855,0.86,200,424.765654
3079.693687,0.84,0.85,200,429.405048
2972.363883,0.81,0.81,200,434.048918
3198.246976,0.88,0.88,200,439.508433
2526.252068,0.85,0.855,200,444.301179
3724.780921,0.865,0.865,200,449.138683
2992.213864,0.84,0.86,200,453.768861
2587.517406,0.83,0.84,200,459.099049
3440.185164,0.86,0.865,200,463.818268
3670.419228,0.82,0.83,200,468.609586
2511.37722,0.86,0.865,200,473.309273
3707.075977,0.84,0.85,200,478.492942
2965.199555,0.815,0.815,200,482.976364
2518.243622,0.865,0.88,200,487.597418
3761.423271,0.84,0.845,200,492.273003
2474.210522,0.835,0.835,200,497.706828
2516.911661,0.875,0.88,200,502.522591
3711.957425,0.835,0.86,200,507.278925
3936.566963,0.79,0.795,200,511.852119
3865.925372,0.805,0.815,200,517.057056
3412.501985,0.84,0.84,200,521.707915
2545.021193,0.86,0.86,200,526.303699
3217.735278,0.86,0.87,200,530.940291
3631.0465,0.84,0.85,200,536.277457
3676.858632,0.855,0.875,200,541.05501
2554.524952,0.87,0.88,200,545.664191
3936.209311,0.765,0.77,200,550.263577
2586.231619,0.875,0.88,200,555.626127
