# {"t_start": 1757028362.7807772, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
3667.252472,0.86,0.86,200,7.152005
1859.323047,0.29,0.295,200,11.464148
2727.193619,0.47,0.49,200,15.656755
3629.159895,0.85,0.86,200,19.956624
3223.180758,0.8,0.81,200,25.26689
3419.941607,0.885,0.885,200,29.694454
3660.635342,0.84,0.845,200,34.096903
3446.084113,0.815,0.82,200,38.492899
2709.248045,0.815,0.82,200,43.721022
2511.646228,0.84,0.85,200,48.339502
3119.462342,0.785,0.795,200,52.934733
2428.322016,0.815,0.835,200,57.404842
2342.22545,0.775,0.785,200,62.60465
2486.708255,0.87,0.87,200,67.077955
2451.40424,0.775,0.78,200,71.775069
3363.87602,0.865,0.865,200,76.261726
2621.918559,0.855,0.875,200,81.343501
1969.730357,0.31,0.32,200,85.661511
3083.495805,0.88,0.88,200,89.965086
2576.896193,0.805,0.815,200,94.242694
2672.817698,0.775,0.78,200,99.197612
3257.854733,0.8,0.8,200,103.572149
3317.565462,0.805,0.81,200,107.963717
3406.871476,0.81,0.81,200,112.310498
3376.381905,0.815,0.835,200,117.282338
2390.663577,0.795,0.795,200,121.599908
2250.404071,0.76,0.775,200,125.815006
3623.462562,0.845,0.845,200,130.161393
2416.845159,0.81,0.825,200,135.412695
3326.514324,0.81,0.835,200,139.868476
3608.720317,0.85,0.85,200,144.229066
3498.182828,0.81,0.825,200,148.662055
2840.842467,0.79,0.795,200,153.972309
3080.426959,0.73,0.73,200,158.472578
2730.856984,0.665,0.665,200,162.891886
2892.865689,0.555,0.595,200,167.280427
2548.578397,0.84,0.855,200,172.329044
3487.970357,0.81,0.83,200,176.911526
3080.662816,0.77,0.77,200,181.33738
3510.960437,0.81,0.825,200,185.672963
3308.024239,0.88,0.885,200,190.557692
3612.416891,0.825,0.83,200,195.034153
3563.314943,0.84,0.845,200,199.461316
1306.386934,0.08,0.095,200,203.983897
2498.207783,0.83,0.845,200,209.187994
2871.416211,0.645,0.645,200,213.690503
2543.787471,0.845,0.85,200,218.368776
2542.113253,0.85,0.85,200,222.854124
2884.423105,0.435,0.435,200,228.11264
2525.694599,0.85,0.855,200,232.554402
3525.448418,0.805,0.83,200,237.202221
3075.703525,0.86,0.86,200,241.803325
3604.034488,0.81,0.825,200,247.035834
3723.21492,0.83,0.84,200,251.538543
2582.779582,0.87,0.89,200,256.040831
3316.522745,0.86,0.86,200,260.653778
2577.14621,0.855,0.855,200,266.058046
2525.498104,0.76,0.775,200,270.672703
3310.692279,0.83,0.855,200,275.159567
2472.780396,0.825,0.83,200,279.885458
2476.590372,0.83,0.835,200,285.218404
3650.695379,0.82,0.83,200,289.901736
2273.496117,0.025,0.025,200,294.588601
2504.609039,0.835,0.845,200,299.274746
3051.747411,0.855,0.86,200,304.596942
3591.997289,0.77,0.78,200,309.178065
3018.646237,0.87,0.87,200,313.783964
3237.968079,0.69,0.69,200,318.458037
3613.683067,0.815,0.835,200,323.767314
3228.024533,0.84,0.855,200,328.438727
2475.637977,0.855,0.87,200,333.083772
3266.765879,0.81,0.84,200,337.68718
3711.989517,0.785,0.82,200,342.960221
2387.639166,0.815,0.815,200,347.684839
3721.681547,0.795,0.83,200,352.265074
2784.147058,0.825,0.83,200,356.847115
3634.631349,0.865,0.865,200,362.165771
2507.585135,0.77,0.78,200,366.852544
3147.289927,0.74,0.74,200,371.385127
2487.229031,0.825,0.84,200,376.004935
3649.539539,0.775,0.785,200,381.532721
2362.955601,0.805,0.82,200,386.24079
2983.546052,0.81,0.815,200,390.850932
2528.306245,0.865,0.885,200,395.333512
3629.892358,0.825,0.855,200,400.750121
3646.777436,0.815,0.845,200,405.473262
3692.61835,0.83,0.84,200,410.081643
3750.694284,0.86,0.86,200,414.653269
2989.113951,0.82,0.835,200,419.943559
2756.387483,0.225,0.25,200,424.601415
3142.567319,0.86,0.87,200,429.238534
3520.74656,0.795,0.82,200,433.884637
3707.464232,0.79,0.82,200,439.340408
2897.228787,0.785,0.795,200,444.14327
3055.582045,0.555,0.565,200,448.972878
3934.137403,0.88,0.88,200,453.605444
2602.911186,0.815,0.82,200,458.936741
2265.274786,0.595,0.605,200,463.662889
3675.210028,0.81,0.835,200,468.447543
3693.115971,0.84,0.855,200,473.142948
2466.773561,0.68,0.695,200,478.32512
3722.528776,0.83,0.84,200,482.812472
3204.050223,0.855,0.865,200,487.436364
2725.745132,0.825,0.845,200,492.114424
3675.624196,0.805,0.815,200,497.546873
3805.758836,0.895,0.895,200,502.357145
2582.4383,0.86,0.86,200,507.113239
3156.948228,0.85,0.86,200,511.68953
2544.888245,0.86,0.875,200,516.890837
2548.698709,0.87,0.87,200,521.547087
2519.719429,0.84,0.855,200,526.144644
3682.51665,0.885,0.885,200,530.773848
2860.387296,0.8,0.8,200,536.120019
2833.604276,0.775,0.775,200,540.892205
3697.329288,0.81,0.835,200,545.500657
3668.823415,0.795,0.82,200,550.098967
3734.832615,0.82,0.83,200,555.458698
3749.544634,0.865,0.865,200,560.108073
3004.340605,0.805,0.815,200,564.825925
3165.843528,0.805,0.82,200,569.43653
3641.577572,0.865,0.865,200,574.643787
2666.711659,0.825,0.84,200,579.264507
3781.717789,0.8,0.81,200,583.889882
2957.584511,0.81,0.81,200,588.484885
3743.148343,0.885,0.885,200,593.684675
2774.971787,0.83,0.845,200,598.360731
3583.32609,0.88,0.88,200,602.91893
3788.043938,0.855,0.875,200,607.430445
3714.092488,0.82,0.82,200,612.518399
3700.150797,0.845,0.855,200,617.10103
3032.821528,0.805,0.81,200,621.618994
2997.69135,0.815,0.83,200,626.137317
3035.046401,0.805,0.805,200,631.619536
4027.751668,0.795,0.81,200,636.309525
3698.876779,0.87,0.87,200,640.89455
3262.937967,0.875,0.875,200,645.60261
3308.688653,0.88,0.88,200,650.847557
2825.391947,0.78,0.785,200,655.52987
3666.692372,0.88,0.88,200,659.948087
2529.625447,0.835,0.85,200,664.532302
2577.242675,0.86,0.86,200,669.703864
2517.541358,0.84,0.845,200,674.384734
2952.514323,0.8,0.805,200,678.97708
3690.49849,0.885,0.885,200,683.405566
3073.511659,0.815,0.82,200,688.561674
2491.199813,0.83,0.84,200,693.158669
3766.571088,0.775,0.785,200,697.61301
2543.687252,0.85,0.85,200,702.142414
4007.842779,0.805,0.805,200,707.433171
2955.710894,0.785,0.785,200,712.120418
3682.745001,0.8,0.8,200,716.779521
2405.087931,0.59,0.59,200,721.363066
3357.884668,0.89,0.89,200,726.607693
2473.409998,0.8,0.83,200,731.312893
3054.689648,0.835,0.84,200,735.955115
3873.922086,0.795,0.8,200,740.488218
3706.995446,0.805,0.83,200,745.853039
3746.861882,0.84,0.865,200,750.425978
3576.911377,0.885,0.885,200,755.05173
2583.533092,0.85,0.87,200,759.586005
3855.906904,0.82,0.82,200,764.923685
3874.047046,0.82,0.83,200,769.537991
3677.7512,0.875,0.875,200,774.14045
3871.213556,0.815,0.815,200,778.807931
3650.161094,0.855,0.87,200,784.122154
3785.091885,0.895,0.895,200,788.783746
2496.97814,0.015,0.02,200,793.426707
3327.776873,0.85,0.855,200,798.153595
3747.026596,0.81,0.835,200,803.501302
3744.842909,0.845,0.86,200,808.200352
3661.773059,0.825,0.84,200,812.836941
2966.146527,0.785,0.8,200,817.470434
2564.255915,0.525,0.525,200,822.701523
3713.811714,0.86,0.865,200,827.371409
